"week_ending","avg_price_nonorg","total_nonorg_units","plu4046","plu4225","plu4770","total_nonorg_bag_units","small_nonorg_bag","large_nonorg_bag","xlarge_nonorg_bag","avg_price_org","total_org_units","plu94046","plu94225","plu94770","total_org_bag_units","small_org_bag","large_org_bag","xlarge_org_bag","bulk_nonorg_gtin","bulk_org_gtin"
2017-07-23,1.31,32608301.51,11391055.98,11339580.43,612242.37,9265422.73,6333888.33,2636616.32,294918.08,1.76,1214158.19,113467.66,317184.04,3700.92,779486.6,624771.07,154712.59,2.94,NA,NA
2017-07-30,1.32,31756097.22,11112191.11,11088082.78,596676.12,8959147.21,6337457.44,2396438.66,225251.11,1.78,1091590.78,100332.24,270534.58,2135.74,718295.3,594392.07,123903.23,0,NA,NA
2017-08-06,1.33,32529920.23,11292580.44,10988313.58,665312.55,9583713.66,6889925.78,2376269.93,317517.95,1.83,1059971.14,112592.04,236015.15,1552.51,709619.31,598479.83,111139.48,0,NA,NA
2017-08-13,1.33,32817254.13,10952703.84,11154310.29,624963.41,10085276.59,6687661.77,3118889.17,278725.65,2.01,8435.52,1182.39,3688.93,11.24,3552.96,3403.12,149.84,0,NA,NA
2017-08-20,1.41,29913744.37,10507928.78,8837219.28,581074.35,9987521.96,6837126.12,2911554.48,238841.36,1.96,1071538.25,108658.66,262747.8,1154.19,698734.9,608822.05,89904.05,8.8,NA,NA
2017-08-27,1.47,28785279.75,10735709.61,8587105.6,517541.94,8944922.6,6592504,2117565.5,234853.1,2.09,1045992.02,112812.39,250861.84,2119.14,680088.21,588832.95,91249.96,5.3,NA,NA
2017-09-03,1.57,26808410.65,9775062.87,8565265.61,541902.88,7926179.29,5851814.47,1855970.25,218394.57,2.06,1075538.53,113516,256920.07,2256.96,702628.91,571725.58,130801.89,101.44,NA,NA
2017-09-10,1.56,26385081.36,9496485.27,8373234.08,487926.52,8027435.49,6035666.24,1818832.48,172936.77,2.38,11857.31,1562.1,4565.41,0,5729.8,5719.96,9.84,0,NA,NA
2017-09-17,1.41,80109.29,3986.2,66934.64,33.59,9154.86,5289.78,3851.75,13.33,1.55,3431.2,30.32,215.1,0,3185.78,3185.78,0,0,NA,NA
2017-09-24,1.64,68539.64,2508.62,56023.16,74.82,9933.04,5391.35,4541.69,0,1.42,3627.18,56.82,95.31,0,3475.05,3475.05,0,0,NA,NA
2017-10-01,1.69,71205.11,4411.02,57416.25,77.85,9299.99,5069.66,4230.33,0,1.59,3423.95,31.2,150.24,0,3242.51,3242.51,0,0,NA,NA
2017-10-08,1.78,55368.61,3679.82,45843.75,42.63,5802.41,2148.2,3654.21,0,2.39,10964.67,1952.2,2235.24,0,6777.23,6542.72,234.51,0,NA,NA
2017-10-15,1.58,25031589.09,8769357.86,8534404.17,392119.12,7335707.94,5387869.35,1893510.99,54327.6,1.85,1172057.19,103557.18,218881.54,1369.62,848040.34,771105.65,76927.27,7.42,NA,NA
2017-10-22,1.44,26706971.51,9607586.96,8761192.74,409598.47,7928593.34,6074596.23,1804539.66,49457.45,1.82,1180823.79,89301.75,229689.25,1309.82,860336.8,767148.14,93130.75,57.91,NA,NA
2017-10-29,1.29,30237911.23,10596902.91,9803569.58,424755.66,9412683.08,6602082.25,2747519.87,63080.96,1.84,1123703.61,88668.95,218858.34,1150.03,814723.26,718162,96481.09,80.17,NA,NA
2017-11-05,1.19,32051594.24,11042128.27,9774987.75,400250.97,10834227.25,7470394.42,3275463.49,88369.34,1.74,12169.3,2012.76,1503.09,0,8653.45,8566.79,86.66,0,NA,NA
2017-11-12,1.15,32336225,11512837,9994648,416643,10412097,7277327,3044847,89923,1.81,1044591.43,93312.94,217612.9,1074.64,732279.99,643083.53,89180.07,16.39,NA,NA
2017-11-19,1.17,29253484,11173132,7847059,416186,9817108,6662322,3059627,95159,1.77,967886.13,88110.88,213230.36,834.3,665229.98,587077.23,77963.17,189.58,NA,NA
2017-11-26,1.24,24686675,9175316,7312239,379637,7819483,5571801,2156887,90795,1.72,957800.72,77759.93,204612.15,978.29,673887.41,574547.2,99074.42,265.79,NA,NA
2017-12-03,1.09,33824253,11746980,10905968,583801,10587491,7730801,2748622,108068,1.55,13729.33,1768.49,2732.92,0,9227.92,9002.58,225.34,0,NA,NA
