"week_ending","avg_price_nonorg","total_nonorg_units","plu4046","plu4225","plu4770","total_nonorg_bag_units","small_nonorg_bag","large_nonorg_bag","xlarge_nonorg_bag","avg_price_org","total_org_units","plu94046","plu94225","plu94770","total_org_bag_units","small_org_bag","large_org_bag","xlarge_org_bag","bulk_nonorg_gtin","bulk_org_gtin"
2019-07-07,1.46,38883159.64,10153137.06,11262186.64,1019933.85,16447902.09,10234860.7,5496937.19,716104.2,1.95,1392880.01,106701.24,257572.47,3346.66,1025248.88,791812.33,233401.04,35.51,NA,NA
2019-06-30,1.37,38035401.59,9799556.99,10371743.85,857120.3,17006980.45,10061618.06,6340092.86,605269.53,1.84,1483274.36,107421.5,239833.16,5669.95,1130349.75,898054.46,232230.09,65.2,NA,NA
2019-06-23,1.34,38628187.43,10625892.82,9968046.33,764157.27,17270091.01,9808034.03,6785757.85,676299.13,1.85,1282942.88,113819.91,230984.71,4703.63,933299.77,751192.44,181912.38,194.95,NA,NA
2019-07-21,1.5,33854234.81,8971163.89,9009255.54,857181.35,15016634.03,9310149.58,4989308.61,717175.84,2.04,1184821.51,112645.91,193024.71,4678.48,874434.54,628287.93,245844.61,302,NA,NA
2019-07-28,1.47,34727442.98,9360275.5,8978733.7,948645.42,15439788.36,9477042.5,5252512.64,710233.22,2.05,1141796.94,120671.45,188895.13,5160.32,826971.31,606151.2,219881.03,939.08,NA,NA
2019-08-04,1.41,35751881.43,10031521.98,8853237.48,789420.88,16077701.09,10217006.54,5217065.62,643628.93,2.02,1248137.32,117643.31,190284.14,4949.66,935181.27,698540.01,236615.95,25.31,NA,NA
2019-08-11,1.34,37406700.1,9588930.54,9165179.06,907351.65,17745238.85,11187291.77,5806802.98,751144.1,1.97,1265433.05,114875.75,186666.96,5449.67,958404.31,740327.24,218063.43,13.64,NA,NA
2019-09-08,1.23,38757175.41,11313320.49,8923953.39,809240.98,17710660.55,12047740,5059285.81,603634.74,1.71,1450423,121054.27,168553.82,4729.73,1156049.77,1008974.67,147075.1,0,NA,NA
2019-09-01,1.23,40024359.99,10872365.99,9755443.58,760024.29,18636526.13,12555024.2,5394809.3,686692.63,1.8,1315173.72,120525.19,169115.69,4324.04,1021189.44,913926.26,107260.19,2.99,NA,NA
2019-08-25,1.23,39340251.15,11369008.45,8786180.59,834792.32,18350269.79,11207457.71,6397323.14,745488.94,1.78,1390415.86,123373.2,160798.55,4141.01,1102033.28,945644.56,156388.72,0,NA,NA
2019-08-18,1.32,37425679.57,10284041.84,9054931.95,780501.94,17306203.84,10721992.72,5880316.72,703894.4,1.75,1478871.37,120019.78,170612.18,3136.48,1185102.93,970951.97,214144.99,5.97,NA,NA
2019-10-06,1.12,39479783.01,9757038.8,9155130.57,833639.74,19733973.9,11293214.76,7958753.83,482005.31,1.55,1558936.59,105261.93,157260.63,3701.62,1292641.44,1090792.43,201765.2,83.81,NA,NA
2019-09-29,1.15,39064517.23,10290944.4,9755174.81,562315.01,18456083.01,10561999.22,7553427.13,340656.66,1.63,1563604.7,114326.13,135042.78,3685.22,1310529.47,1118237.59,192291.88,0,NA,NA
2019-09-22,1.2,37132649.17,10297739.55,8794973.38,561900.63,17478035.61,9839007.16,7246420.68,392607.77,1.61,1602097.06,124185.63,154269.39,4217.08,1319399.68,1149201.87,170197.81,0,NA,NA
2019-09-15,1.21,38782069.87,10684605.45,8996308.28,539377.5,18561778.64,10979483.63,7166522.41,415772.6,1.61,1532413.54,119769.2,152716.92,4099.34,1255802.26,1121534.81,134246.61,20.84,NA,NA
2019-11-03,1.04,37329536.19,10376832.82,7835071.72,598957.72,18518673.93,10710796.01,7268951.62,538926.3,1.38,1626558.38,94248.66,135342.45,3894.8,1392969.29,1230731.86,162211.89,25.54,NA,NA
2019-10-27,1.04,39116432.88,10769296.72,8331285.17,617736.9,19398114.09,11075003.53,7790540.1,532570.46,1.33,1736175.58,85560.7,142065.5,3424.64,1505098.85,1357031.73,148005.54,61.58,NA,NA
2019-10-20,1.07,38477321.05,9670776.32,8752201.57,675093.3,19378276.53,10546392.39,8378355.78,453528.36,1.47,1453261.28,80886.55,140954.73,4176.53,1227185.26,1109729.33,117445.44,10.49,NA,NA
2019-10-13,1.11,38768168.4,10329901.22,9467625.66,710891.62,18259749.9,10580507.7,7098397.42,580844.78,1.52,1509202.02,87747.63,157542.45,3191.51,1260595.4,1085397.39,175136.52,61.49,NA,NA
2019-12-01,1.05,31319054,9291631,6238096,585262,15204064,8665497,5986828,551739,1.51,1218328,90688,117456,2399,1007748,859813,147866,70,NA,NA
2019-11-24,1.06,34631238,9568975,7488155,647375,16926733,9572128,6756021,598584,1.57,1203764,85254,119582,4388,994385,873583,120796,6,NA,NA
2019-11-17,1.02,37883934,10859987,7674135,586287,18763525,10882824,7272877,607824,1.53,1411353,142289,155911,2867,1110210,952201,157997,12,NA,NA
2019-11-10,1.01,39062078,10717154,8561348,714813,19068763,10984070,7410528,674164,1.57,1398365,99982,119282,3709,1175290,1006620,168582,89,NA,NA
2019-12-29,0.92,39387849.97,11755125.67,7518140.74,695276.47,19419307.09,10764993.72,7997196.35,657117.02,1.41,1484973.94,103711.74,139442.02,2318.86,1239436.28,1021450.72,217848.25,137.31,NA,NA
2019-12-22,1.03,34459834.98,10219144.89,6805134.76,695299.88,16740255.45,9193315.35,6983046.64,563893.46,1.58,1355282.79,135274.78,152256.36,3611.1,1064091.82,913534.41,150555.9,1.51,NA,NA
2019-12-15,1.02,35174364.71,9939946.69,7293252.47,544368.08,17396797.47,9907452.98,6998810.58,490533.91,1.58,1167414.83,81292.94,116024.73,2403.04,967659.69,850341.3,117277.57,40.82,NA,NA
2019-12-08,0.96,39683131.73,11347723.5,8495657.43,732026.79,19106744.01,10559420.53,7946439.04,600884.44,1.48,1254782.55,82718.21,120225.73,3953.81,1047870.42,913814.12,133931.91,124.39,NA,NA
2020-01-06,1.014990305,38160622.03,11382301.36,8838048.36,714727.96,6077879.46,0,0,0,1.526267827,1490002.04,98374.42,158565.39,2098.85,646530.89,0,0,0,11147664.88,584432.49
2020-01-12,1.016008442,38957760.83,12542250.26,7081055.5,526696.56,7211617.61,0,0,0,1.519207515,1643305.11,133238.21,142311.84,3414.38,677155.77,0,0,0,11596140.9,687184.91
2020-01-19,0.955847779,41683196.55,13133695.21,8461136.12,800628.92,6960944.7,0,0,0,1.474012054,1671443.11,189679.65,159137.48,2983.75,654337.53,0,0,0,12326791.59,665304.7
2020-01-26,1.068396444,36466588.38,11381625.82,6413728.83,519733.33,7955062.16,0,0,0,1.593952282,1473202.53,111259.44,143246.39,2970.41,725265.1,0,0,0,10196438.24,490461.19
2020-02-02,0.898932086,52226522.21,16058735,11072233.03,976358.87,9425682.79,0,0,0,1.514429679,1592549.53,108405.81,144429.41,3674.91,713352.82,0,0,0,14693512.53,622686.58
2020-02-09,1.001276752,40158082.47,12787531.31,7863855.24,632643.46,7610104.3,0,0,0,1.540190439,1527045.89,96111.68,118518.7,3719.89,734926.89,0,0,0,11263948.16,573768.73
2020-02-16,1.055429054,35814220.49,11564655.62,6593627.51,421163.97,6872241.87,0,0,0,1.593457584,1469703.01,82291.18,110124.52,3512.61,752590.75,0,0,0,10362531.52,521183.95
2020-02-23,1.066674145,37834659.29,11833590.74,6786102.22,565676.07,7624190.66,0,0,0,1.597277805,1516555.66,106522.52,129271.79,4410.99,754147.8,0,0,0,11025099.61,522202.57
2020-03-01,1.140513796,36056656.96,11546641.2,6436087.94,376860.51,7037494.12,0,0,0,1.70064493,1605457.18,162354.95,211383.7,4626.54,729186.5,0,0,0,10659573.19,497905.49
2020-03-08,1.175555853,36931225.59,12054934.91,6412607.49,304504.22,7659247.08,0,0,0,1.752238104,1471128.65,92790.96,141374.63,3383.65,733855.86,0,0,0,10499931.9,499723.55
2020-03-15,1.21653665,43166013.53,13732721,7324307.07,372057.49,9572049.72,0,0,0,1.809204153,1787811.39,106377.28,160142.97,4366.23,883076.51,0,0,0,12164878.24,633848.41
2020-03-22,1.221967281,42058913.01,14122254.98,7372262.42,363807.23,8312514.08,0,0,0,1.767986562,1609709.67,115414.58,141458.88,4201.84,852135.67,0,0,0,11888074.3,496498.71
2020-03-29,1.252223545,38686850,12659424.23,7337062.09,354164,7630382.41,0,0,0,1.845895368,1347733.2,104372.85,140684.27,4296.71,713114.43,0,0,0,10705817.28,385264.94
2020-04-05,1.21250521,42711322.87,14606358.91,7892821.23,412343.32,8617950.96,0,0,0,1.852502367,1601745.24,138813.33,154818.12,5640.43,796572.34,0,0,0,11181848.46,505901.03
2020-04-12,1.25432604,40598384.04,13888832.16,7518419.28,449129.39,8387719.72,0,0,0,1.862033968,1623963.33,176436.39,146236.46,3267.02,781527.31,0,0,0,10354283.5,516496.15
2020-04-19,1.208312062,41866995.3,13816673.52,7653245.76,548973.42,8666065.11,0,0,0,1.837424874,1638116.84,183812.84,157206.35,5143.13,817880.17,0,0,0,11182037.49,474074.35
2020-04-26,1.217875742,43673392.9,13611384.36,9210473.02,600744.27,8856570.48,0,0,0,1.815769177,1603403.18,138252.96,175440.16,5034.91,831944.97,0,0,0,11394220.77,452730.18
2020-05-03,1.104128125,51390078.51,16580172.78,9709333.92,576007.46,10446060.62,0,0,0,1.767086056,1738376.69,147427.13,190729.94,5544.53,800351.8,0,0,0,14078503.73,594323.28
2020-05-10,1.154539001,49396996.47,16207054.16,9787981.36,690246.6,10027529.95,0,0,0,1.80344889,1828063.26,174115.02,196164.54,3512.06,843611.02,0,0,0,12684184.4,610660.61
2020-05-17,1.211092528,44091312.02,14471787.31,8200530.33,602596.65,9447404.63,0,0,0,1.849102747,1725054.51,153740.48,175956.97,3938.84,885622.53,0,0,0,11368993.11,505795.69
2020-05-24,1.162038234,48108457.3,15716040.73,8642632.58,723097.1,10153876.28,0,0,0,1.865378359,1722445.3,145543.71,157118.67,4520.2,913297.02,0,0,0,12872810.61,501965.69
2020-05-31,1.125685931,48444018.68,14780028.52,9976694.7,747424.51,9895179.75,0,0,0,1.850402043,1644057.46,131321.43,155327.9,3279.2,895512.77,0,0,0,13044691.2,458616.15
2020-06-07,1.135257408,46335246.09,15159526.67,8481121.95,928056.65,9880038.96,0,0,0,1.853130772,1682178.88,135209,155555.49,5436.82,894031.69,0,0,0,11886501.86,491945.88
2020-06-14,1.112875462,46913679.46,14040521.48,9635212.29,794231.02,10109833.67,0,0,0,1.848803772,1631798.39,101115.86,153373.16,4932.97,869965.28,0,0,0,12333881,502411.11
2020-06-21,1.139543521,44517267.14,13653262.65,8166235.7,759156.36,9818379.74,0,0,0,1.815613534,1650688.57,114314.25,147135.07,4881.42,885392.5,0,0,0,12120232.68,498965.34
2020-06-28,1.103993152,44111933.42,13276443.6,7925098.46,751117.06,9196617.99,0,0,0,1.8031829,1577300.41,135200.85,135084.88,6038.08,824419.75,0,0,0,12962656.3,476556.85
2020-07-05,1.111708689,47373644.96,14844312.18,8695835.97,868708.86,10281450.9,0,0,0,1.833002715,1687085.46,138621.65,137945.77,5714.7,836429.77,0,0,0,12683337.05,568373.57
2020-07-12,1.082890518,43568299.07,13023347.71,8135770.67,743791.95,9904064.37,0,0,0,1.839757112,1569045.23,125280.87,138244.51,5108.53,795183.33,0,0,0,11761324.37,505227.99
2020-07-19,1.053010457,44793416.15,12785706.04,8542054.67,1012983.09,10719269.5,0,0,0,1.774741473,1656779.11,132008.45,140470.9,5526.54,867865.61,0,0,0,11733402.85,510907.62
2020-07-26,1.042027223,44271091.79,13078972.02,8410957.11,940916.32,10492245.8,0,0,0,1.65911896,1781783.39,161301.57,137187.8,5012.74,897735.51,0,0,0,11348000.54,580545.77
2020-08-02,1.044853449,42728397.34,12286189.3,8045228.23,654716.84,10617402.8,0,0,0,1.739353355,1610729.25,128975.63,123121.73,2734.99,802682.87,0,0,0,11124860.17,553214.02
2020-08-09,1.049804263,42831584.16,12078118.28,8505618.98,667293.69,10334058.73,0,0,0,1.764148048,1526986.36,89212.14,124032.46,2395.53,808409.55,0,0,0,11246494.48,502936.69
2020-08-16,1.020738797,43397085.11,12708449.15,8457140.54,634196.26,10120744.66,0,0,0,1.802318247,1555025.24,104645.61,129925.22,1531.84,828728.65,0,0,0,11476554.51,490193.93
2020-08-23,1.009062356,43229199.34,12915185.31,7639040.27,667655.4,9841109.12,0,0,0,1.751558599,1505561.81,104324.83,126925.79,2484.78,814186.13,0,0,0,12166209.23,457640.29
2020-08-30,0.995386719,42850751.78,12588562.85,8078811.11,643432.51,9291023.09,0,0,0,1.759687538,1445892.71,106490.36,129282.57,2202.34,787463.53,0,0,0,12248922.22,420453.91
2020-09-06,1.016268276,43317232.6,13366441,7818069.36,605007.12,9430634.22,0,0,0,1.743133666,1491577.81,98922.81,129335.08,3230.59,760518.6,0,0,0,12097080.9,499570.73
2020-09-13,0.990455967,41894344.62,12935615.21,7355841.09,756159.84,9657097.97,0,0,0,1.69878086,1535447.8,97144.28,123808.69,3640.53,798013.64,0,0,0,11189630.5,512840.66
2020-09-20,0.990715814,40628066.48,12029125.83,7346296.66,628282.18,9250137.67,0,0,0,1.694403523,1488968.19,112728.78,129416.19,3708.2,765266.23,0,0,0,11374224.13,477848.79
2020-09-27,1.011071641,39711332.12,11518448,8029337.59,543322.13,8944802.04,0,0,0,1.706585843,1412872.47,77262.25,121863.75,3898.73,768751.2,0,0,0,10675422.36,441096.55
2020-10-04,1.022227178,39106620.91,11309562.15,7366407.21,424064.69,9128506.88,0,0,0,1.694787414,1437380.88,82830.22,116242.01,3748.52,777178.07,0,0,0,10878079.99,457382.06
2020-10-11,1.008866272,39342513.38,11410666.95,7524667.65,474289.39,9064227.48,0,0,0,1.653450588,1429817.58,76996.88,111603.61,3964.07,771470.47,0,0,0,10868661.91,465782.55
2020-10-18,0.98975128,38665665.38,10886637.43,7345092.41,550010.12,9292502.18,0,0,0,1.608258356,1433085.61,79162.82,103542.68,2560.17,794793.09,0,0,0,10591423.25,453026.84
2020-10-25,0.959128671,38917363.39,11013218.87,7351752.67,725976.71,9158426.41,0,0,0,1.594883983,1479733.36,101770.04,111690.34,2614.98,778312.87,0,0,0,10667988.72,485345.14
2020-11-01,0.96845605,38631422.95,10800234.22,7182232.43,575442.01,9117735.04,0,0,0,1.500957971,1759392.93,77018.86,327665.32,3209.11,804318.08,0,0,0,10955779.25,547181.57
2020-11-08,0.953170446,38718163.44,10862248.35,6962074.88,566607.89,9368898.38,0,0,0,1.496074975,1593972.83,74926.99,198350,2688.01,823982.78,0,0,0,10958333.94,494025.04
2020-11-15,0.972768561,38491168.17,10673333.35,7277062.28,518498.02,9876966.26,0,0,0,1.59247776,1427362.73,84438.63,115519.6,2721.53,779416.69,0,0,0,10145308.26,445266.29
2020-11-22,0.937627967,36905050.49,10737035.23,6694272.79,539184.55,9633303.46,0,0,0,1.58077752,1428605.82,72322.26,97143.8,2373.9,817257.93,0,0,0,9301254.46,439507.93
2020-11-29,0.936191465,31648854.31,9600543.32,5449601.4,427040.55,8081691.27,0,0,0,1.606888117,1247900.31,62024.73,87673.31,2051.15,702545.23,0,0,0,8089977.76,393605.9
2020-12-06,0.917332616,37724041.49,10705345.8,7049985.36,660295.28,9134313.57,0,0,0,1.554792828,1644822.77,77793.42,205558.21,3089.5,876588.61,0,0,0,10174101.48,481793.04
2020-12-13,0.907455245,38130684.48,10147513.67,6999743.57,502318.43,10427460.07,0,0,0,1.529047218,1557067.45,74994.68,161891.35,2324.5,895281.69,0,0,0,10053648.74,422575.23
2020-12-20,0.951744288,36002297.69,9988512.89,6517660.21,548765.54,9720598.08,0,0,0,1.555740157,1471870.08,80196.14,120040.24,2648.92,844010.96,0,0,0,9226760.97,424973.81
2020-12-27,0.92062662,34569180.24,9726556.99,6381778.33,474324.13,8736249.11,0,0,0,1.507964172,1418951.82,73373.88,113176.26,2413.28,805431.54,0,0,0,9250271.68,424556.87
2021-01-04,0.848532623,45388800.75,12241081.49,9415961.22,947364.93,10088297.98,8711204.06,560196.82,498372.41,1.424763796,1768766.39,84135.34,159981.37,2923.94,972149.8,941123.52,9847.74,100.8,12696095.12,549575.96
2021-01-10,0.931911803,44305917.75,11949417.78,7940367.48,603760.93,11738952.51,10207000.3,556781.52,603408.41,1.446895649,2046958.06,90362.52,142393.62,74461.3,1189394.22,1068280.54,11857.62,31.5,12073419.04,550346.4
2021-01-17,0.948219379,44864648.1,11957104.81,8410748.32,934994.69,11653823.19,10026021.18,695246.86,579069.22,1.510066697,1950864.73,103703.96,137256.79,15354.24,1118517.93,1072454.99,6575.01,2592.45,11907977.09,576031.8
2021-01-24,0.929980505,45306162.24,11765942.95,9108383.91,837146.3,11102726.03,9698537.97,531752.52,547899.73,1.457386355,1989330.1,94730.53,141181.61,4329.11,1160300.21,1121943.32,9618.83,8275.05,12491963.04,588788.64
2021-01-31,0.950419087,44882170.05,12041263.33,8090330.89,457863.16,11595941.83,10031260.14,546154.19,625987.6,1.460299133,1971622.88,81600.27,136880.2,3244.45,1184072.59,1131019.48,9091.26,2749.95,12696770.84,565825.36
2021-02-07,0.852306828,54548117.44,14455951.63,10555610.13,1033270.57,12999193.05,11281462.36,571879.31,629734.91,1.392839501,2137123.16,81040.64,156159.26,4038.82,1200572.56,1136700.94,11689.06,85.05,15504092.06,695311.88
2021-02-14,0.924019483,44314825,11962641.41,8356793.53,695190.15,11361927.8,9603812.14,473101.41,627054.93,1.439307798,1984320.81,84641.2,158207.81,4971.58,1113605.7,1075104.37,8454.62,31.5,11938272.11,622894.52
2021-02-21,0.974404779,40428829.49,11164465.82,7523442.05,400912.85,10282432.61,8886538.76,412729.3,526737.35,1.43531202,1961753.36,91390.92,151496.48,54807.58,1120232.49,1084060.77,8802.68,12.6,11057576.16,543825.89
2021-02-28,0.933439476,43965741.2,11262423.13,8257861.91,761531.32,11038553.05,9570042.98,483641.41,606910.24,1.425999969,2133794.27,82554.4,333825.68,13280.69,1179766.64,1138316.79,9578.2,18.9,12645371.79,524366.85
2021-03-07,0.981898449,43810860.77,11261314.8,8200831.61,573939.75,12206631.63,10724698.05,497758.99,663459.79,1.425103846,2127472.41,83600.38,235052.98,4383.35,1262537.42,1222859.17,9938.09,9.45,11568142.98,541898.28
2021-03-14,0.995422041,43371632.33,11575866.12,7714614.19,491368.22,11795886.36,10310877.22,481704.53,677334.99,1.495969962,1944637,78253.14,135592.23,3672.59,1199053.97,1159479.46,13663.52,25.2,11793897.43,528065.06
2021-03-21,1.013239868,42464398.14,10805831.99,8310816.01,627092.89,10966877.71,9455679.59,546903.25,639243.08,1.514798015,1928440.82,93939.7,135833.63,3362.82,1189865.38,1154127.9,12372.75,3.15,11753779.55,505439.29
2021-03-28,1.090888409,41891982.02,10614815.42,7470400.86,480758.2,11388155.29,9940022.66,485222.86,633293.2,1.538269352,1869748.38,81010.3,123806.45,4581.35,1245162.57,1193783.37,12568.09,18.9,11937852.25,415187.71
2021-04-04,1.1681574,40668007.5,11011181.27,7223163.03,534268.17,11485365.85,9823032.66,642777.01,679586.8,1.619363142,1932333.49,81070.35,115875.98,3100.86,1288160.2,1241179.37,11149.61,40.95,10414029.18,444126.11
2021-04-11,1.163461448,39321744.05,11305864.58,6749597.15,384629.22,10701492.35,9164619.93,541480,622635.28,1.644323761,1906031.37,94921.27,116084.68,3979.81,1263093.56,1221959.78,10169.44,22.05,10180160.75,427952.05
2021-04-18,1.185743265,40603117.35,11856522.34,7007016.24,397408.15,11199711.81,9519624.49,731672.41,595770.43,1.642447519,1995484.55,94966.83,112604.78,1527.54,1347256.21,1300496.9,11183.9,66.15,10142458.81,439129.2
2021-04-25,1.174884404,40414944.37,11504717.89,6776506.43,376834.71,11225172.65,9529749.83,1099091.44,328773.66,1.679376075,2010721.26,126616.16,117122.09,779.25,1294746.8,1256922.58,10019.51,157.5,10531712.68,471456.96
2021-05-02,1.080920189,45273336.75,12830101.2,8101757.59,520446.41,11148977.87,9565572.83,728555.52,514959.65,1.57204522,2287155.17,133069.12,125336.2,321.05,1267358.49,1216667.43,14677.64,53.55,12672053.68,761070.31
2021-05-09,1.13496175,42889029.8,12259275.69,7959115.37,454810,10820389.58,9303845.28,509795.89,656691.88,1.600883287,2226780.87,107740.89,137051.64,412.67,1273244.78,1217118.12,13233.13,53.55,11395439.15,708330.89
2021-05-16,1.145527615,39775474.05,10806593.01,7064001.04,481785.59,10385495,8987134.68,455305.02,644232.74,1.656050674,1908656.65,94334.4,132882.08,345.04,1182981.73,1143397.09,11276.14,9.45,11037599.42,498113.41
2021-06-13,1.139443602,40769234.14,11335780.27,7112214.79,421178.77,11133955.08,9470098.44,486114.86,657686.37,1.670301158,1888911.07,72302.63,109068.8,251.32,1229671.59,1111816.54,16260.58,138.6,10766105.23,477616.74
2021-06-06,1.145413921,40977184.82,11386864.45,7172741.76,388976.28,10861248.65,9206465.78,491091.48,677525.14,1.692039575,1859184.75,67043.78,107559.64,284.45,1236393.04,1107820.36,22376.24,103.95,11167353.68,447903.84
2021-05-30,1.18630532,40441973.33,11098232.77,7411198.96,492086.32,10934964.95,9207796.49,565322.6,658663.15,1.661979601,1879040.61,73916.69,112605.51,257.24,1245514.24,1112577.22,35862.66,56.7,10505490.34,446746.93
2021-05-23,1.134825532,40628677.15,10695986.34,7292984.13,390297.83,10862257.63,9234196.55,524154.68,649502.02,1.592191826,1997183.22,74606.38,114646.16,263.17,1345779.49,1193916.35,69203.95,88.2,11387151.21,461888.03
2021-07-11,1.069345091,41010402.1,11226486.17,7399309.12,495348.58,10813165.74,8807138.63,626925.3,655168.41,1.703521047,1315839.23,0,0,0,926913.77,831522.46,14021.78,66.15,11076092.48,388925.46
2021-07-04,1.134552845,42426920.04,11514748.56,7961384.59,593050.4,10837242.46,8960441.71,536059.25,669332.75,1.685224046,1526479.73,0,0,0,1076524.94,964506.09,12843.45,85.05,11520494.02,449954.79
2021-06-27,1.140000911,39689032.76,11328714.72,7179173.8,442366.83,9880721.3,8394172.87,330703.19,640669.15,1.667801825,1480525.39,0,0,0,1020891.77,901969.42,14190.45,56.7,10858056.1,459633.61
2021-06-20,1.157507908,41288226.57,10787503.37,7969420.86,537196.65,10532018.55,8833891.2,356270.63,674931.38,1.606033671,1651339.05,0,0,0,1175727.33,1050147.09,14907.33,116.55,11462087.14,475611.72
2021-08-08,1.099921593,38217406.74,9826354.71,7350080.4,553516.71,9836933.71,7878321.43,569558.01,677275.4,1.776774927,1602296.92,87536.43,109516.22,164.96,998375.69,867864.69,46796.05,138.6,10650521.22,406703.61
2021-08-01,1.114488529,37503352.81,9047826.98,7242650.79,522438.61,10500167.79,8240995.14,787640.81,580947.97,1.777768912,1566616.86,70499.97,154787.13,404.28,956717.98,818283.1,59850.14,40.95,10190268.65,384207.5
2021-07-25,1.070782307,39734404.42,10081026.44,7171438.85,774303.6,10727282.12,8510322.7,888036.13,617067.72,1.710694321,1678298.83,71097.8,244372.58,735.47,973445.35,842572.34,50322,18.9,10980353.41,388647.62
2021-07-18,1.043216264,41829027.26,10342606.45,7308794.62,793882.67,12105778.63,9764755.8,798771.29,625404.68,1.738857319,1623763.3,67727.58,104569.88,184.06,1015849.52,866331.11,67542.89,53.55,11277964.89,435432.26
2021-09-05,1.083413302,38829762.19,10205925.17,6533650.13,471960.61,11700433.82,9396944.36,956611.99,284873.59,1.712430298,1793420.97,89474.5,111764.23,116,1105259.44,803571.49,181601.9,72.45,9917792.46,486806.8
2021-08-29,1.0868604,38246240.9,9595056.92,7095884.62,543151.74,10438946.25,8285525.1,830853.35,366724.6,1.725045252,1731461.02,90078.65,115939.91,126.68,1083710.87,789452.29,188805.13,59.85,10573201.38,441604.91
2021-08-22,1.095702216,37586173.84,9333883.45,6801658.6,439257.56,11255574.86,8577826.58,1042710.51,530332.92,1.737436463,1670037.7,80381.16,113398.3,175.46,1079497.19,790334.63,199034.35,81.9,9755799.37,396585.59
2021-08-15,1.097656921,38588952.63,9452998.89,7462214.31,653482.65,10493649.4,8148200.74,874552.23,613212.87,1.750234076,1620030.91,84202.5,110189.5,149.36,1021234.38,823527.63,109336.99,81.9,10526607.37,404255.17
2021-10-03,1.182569342,34607548.2,10381726.91,4851001.41,404862.85,9248538.12,7592976.85,734168.05,132033.4,1.655151425,1701955.25,80574.43,108183.28,107.03,1029193.42,807982.46,117614.73,0,9721418.91,483897.09
2021-09-26,1.172117173,35054742.52,10309031.94,5458645.63,373738.17,9875295.41,7949310.8,817000.2,193643.61,1.698747443,1632397.45,91942.44,110019.76,162.86,970329.49,752559.25,112807.82,28.35,9038031.37,459942.89
2021-09-19,1.165622608,35082018.52,10045334.95,5629906.37,498991.63,10023874.37,7841211.21,804219.57,207163.98,1.773615866,1672017.05,99603.53,120916.46,333.44,1005562.38,772495.21,139626.94,103.95,8883911.2,445601.24
2021-09-12,1.154406188,35701549.43,9743072.78,6142830.86,579992.58,10038358.83,7958919.25,844195.19,278018.99,1.718751713,1759415.5,85525.99,116905.75,168.68,1078869.52,821465.28,134194.42,176.4,9197294.38,477945.57
2021-10-31,1.13843159,34337672.01,9963901.86,4559558.77,351039.94,9788637.7,8210933.36,773056,192263.07,1.570800003,1928661.59,88383.57,110513.86,109.68,1144378.57,1030464.44,20719.92,0,9674533.74,585275.91
2021-10-24,1.159784692,34137969.68,10135904.26,4556780.49,404647.26,9224800.14,7449511.6,983372.79,146573.18,1.627742106,1770265.59,91416.78,103582.07,259.82,1103356.42,964836.01,42453.81,0,9815837.53,471650.5
2021-10-17,1.181452083,34280127.3,9965844.91,4532507.87,371873.32,10231562.93,8295351.27,1109354.64,118037.51,1.662926325,1704981.46,75657.56,112247.44,142.57,1051494.06,861646.58,88380,0,9178338.27,465439.83
2021-10-10,1.205846624,34796407.49,10146468.34,4968169.73,432131.54,9876232.89,7748491.05,1111145.77,121854.74,1.630560031,1729643.97,96627.24,104361.49,113.42,1123056.9,887209.16,131668.99,0,9373404.98,405484.92
