Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Albany,Weekly,"2022-01-10 00:00:00",Conventional,1.151290317,137912.08,43074.63,62593.99,984.87,31258.58,,,
Atlanta,Weekly,"2022-01-10 00:00:00",Conventional,1.123514911,866685.03,550877.51,145906.47,2196.02,167705.03,,,
Baltimore/Washington,Weekly,"2022-01-10 00:00:00",Conventional,1.144724109,1269467.56,464476.40,219520.94,9865.41,575604.81,,,
Birmingham/Montgomery,Weekly,"2022-01-10 00:00:00",Conventional,1.066518482,355670.32,221020.11,28565.18,3091.95,102993.08,,,
Boise,Weekly,"2022-01-10 00:00:00",Conventional,1.335789723,113588.56,48572.34,22684.19,11665.68,30666.35,,,
Boston,Weekly,"2022-01-10 00:00:00",Conventional,1.518744589,659247.74,152701.27,340825.61,3282.23,162438.63,,,
Buffalo/Rochester,Weekly,"2022-01-10 00:00:00",Conventional,1.207224525,248527.60,47269.74,52153.33,870.80,148233.72,,,
Charlotte,Weekly,"2022-01-10 00:00:00",Conventional,1.110561935,453178.88,211296.11,68103.01,6571.30,167208.46,,,
Chicago,Weekly,"2022-01-10 00:00:00",Conventional,1.168758675,1159342.52,515065.48,272642.20,113283.23,258351.62,,,
Cincinnati/Dayton,Weekly,"2022-01-10 00:00:00",Conventional,0.926071800,368379.51,274756.23,51210.41,927.58,41485.29,,,
Columbus,Weekly,"2022-01-10 00:00:00",Conventional,0.936572039,302732.83,222223.12,30013.14,1373.97,49122.60,,,
"Dallas/Ft. Worth",Weekly,"2022-01-10 00:00:00",Conventional,0.901879503,1402797.35,610977.77,339968.46,16472.70,435378.43,,,
Denver,Weekly,"2022-01-10 00:00:00",Conventional,1.191395678,929195.23,359814.15,272264.94,30164.44,266951.70,,,
Detroit,Weekly,"2022-01-10 00:00:00",Conventional,0.919285144,576818.89,385517.31,56169.88,32799.13,102332.57,,,
"Grand Rapids",Weekly,"2022-01-10 00:00:00",Conventional,1.124689396,207669.60,94681.17,26008.86,33551.54,53428.04,,,
Harrisburg/Scranton,Weekly,"2022-01-10 00:00:00",Conventional,1.047654001,465300.74,207199.26,99458.58,1992.87,156650.03,,,
Hartford/Springfield,Weekly,"2022-01-10 00:00:00",Conventional,1.442405248,391942.61,74695.89,216839.80,1109.68,99297.24,,,
Houston,Weekly,"2022-01-10 00:00:00",Conventional,0.980541488,1015864.43,466707.59,345640.78,7674.96,195841.10,,,
Indianapolis,Weekly,"2022-01-10 00:00:00",Conventional,0.930581805,299176.27,197516.47,36983.60,1998.45,62677.74,,,
Jacksonville,Weekly,"2022-01-10 00:00:00",Conventional,1.214610491,232030.48,159764.02,10878.46,1306.86,60081.15,,,
"Las Vegas",Weekly,"2022-01-10 00:00:00",Conventional,1.075791660,398808.77,120064.51,165367.85,1212.21,112164.19,,,
"Los Angeles",Weekly,"2022-01-10 00:00:00",Conventional,1.210475360,3228440.50,1947940.17,98045.84,427304.22,755150.28,,,
Louisville,Weekly,"2022-01-10 00:00:00",Conventional,0.948549775,149175.32,92133.03,22484.45,622.75,33935.10,,,
