Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
"Miami/Ft. Lauderdale",Weekly,"2022-01-10 00:00:00",Conventional,1.234802765,952983.41,686087.65,35199.27,7719.54,223976.96,,,
Nashville,Weekly,"2022-01-10 00:00:00",Conventional,1.080963727,318532.18,196885.58,39469.15,1315.69,80861.76,,,
"Northern New England",Weekly,"2022-01-10 00:00:00",Conventional,1.267653519,490239.73,206904.95,185723.35,648.22,96963.21,,,
"New Orleans/Mobile",Weekly,"2022-01-10 00:00:00",Conventional,0.983901810,287034.73,141764.03,18448.48,1749.68,125072.53,,,
"New York",Weekly,"2022-01-10 00:00:00",Conventional,1.338417539,2235459.45,672948.33,838728.98,18064.50,705717.64,,,
Orlando,Weekly,"2022-01-10 00:00:00",Conventional,1.121798519,592122.85,393555.91,14613.51,7055.05,176898.37,,,
Peoria/Springfield,Weekly,"2022-01-10 00:00:00",Conventional,0.944876070,167705.06,93175.15,23861.42,5037.25,45631.25,,,
Philadelphia,Weekly,"2022-01-10 00:00:00",Conventional,1.074375599,808403.19,315753.08,160199.30,4569.08,327881.74,,,
Phoenix/Tucson,Weekly,"2022-01-10 00:00:00",Conventional,0.876997194,1308926.82,757813.52,333904.00,33699.34,183509.96,,,
Pittsburgh,Weekly,"2022-01-10 00:00:00",Conventional,1.074514146,194265.35,117405.47,6137.98,990.15,69731.75,,,
Portland,Weekly,"2022-01-10 00:00:00",Conventional,1.324311310,641555.75,282049.07,224379.86,32072.77,103054.06,,,
Providence,Weekly,"2022-01-10 00:00:00",Conventional,1.478389062,103852.73,24813.38,58120.07,302.90,20616.37,,,
Raleigh/Greensboro,Weekly,"2022-01-10 00:00:00",Conventional,1.045217989,518789.50,255153.89,77257.83,6957.44,179420.34,,,
Richmond/Norfolk,Weekly,"2022-01-10 00:00:00",Conventional,0.978314370,394959.41,225377.89,64904.54,2174.41,102502.57,,,
Roanoke,Weekly,"2022-01-10 00:00:00",Conventional,0.939801668,224853.52,139711.76,33144.45,515.70,51481.61,,,
Sacramento,Weekly,"2022-01-10 00:00:00",Conventional,1.344338574,471158.39,127635.90,226676.66,9555.45,107290.38,,,
"San Diego",Weekly,"2022-01-10 00:00:00",Conventional,1.217859940,603542.17,351329.00,35348.44,71624.47,145240.27,,,
"San Francisco",Weekly,"2022-01-10 00:00:00",Conventional,1.234038057,899499.88,175778.48,579276.99,13740.35,130704.07,,,
Seattle,Weekly,"2022-01-10 00:00:00",Conventional,1.438789909,626339.31,276174.59,257712.32,3555.52,88896.88,,,
"South Carolina",Weekly,"2022-01-10 00:00:00",Conventional,1.069771904,598414.82,337132.25,72766.54,2612.28,185903.75,,,
Spokane,Weekly,"2022-01-10 00:00:00",Conventional,1.262712555,88537.50,42218.72,30546.93,25.15,15746.70,,,
"St. Louis",Weekly,"2022-01-10 00:00:00",Conventional,0.974514852,278152.00,175639.10,14002.53,1519.13,86991.24,,,
Syracuse,Weekly,"2022-01-10 00:00:00",Conventional,1.172242731,109653.67,31821.42,28344.83,381.64,49105.78,,,
Tampa,Weekly,"2022-01-10 00:00:00",Conventional,1.111790061,603061.92,436274.34,17494.06,3363.05,145930.48,,,
Toledo,Weekly,"2022-01-10 00:00:00",Conventional,0.877407147,172421.78,123371.49,14568.70,4042.34,30439.26,,,
"West Tex/New Mexico",Weekly,"2022-01-10 00:00:00",Conventional,1.016264950,815039.86,314532.47,150168.48,8411.08,341927.83,,,
Wichita,Weekly,"2022-01-10 00:00:00",Conventional,1.019460648,98108.96,50068.75,21460.15,667.66,25912.41,,,
California,Weekly,"2022-01-10 00:00:00",Conventional,1.230991337,6613680.44,3197732.91,1396548.22,597854.59,1421544.72,,,
"Great Lakes",Weekly,"2022-01-10 00:00:00",Conventional,1.014433493,5086509.82,2888602.41,890512.91,250779.77,1056614.72,,,
Midsouth,Weekly,"2022-01-10 00:00:00",Conventional,1.045867646,4866267.75,2480362.23,740676.79,34278.83,1610949.90,,,
Northeast,Weekly,"2022-01-10 00:00:00",Conventional,1.291697043,6068727.95,1967742.03,2049803.31,23725.79,2027456.83,,,
Plains,Weekly,"2022-01-10 00:00:00",Conventional,1.108327445,2113713.05,991203.35,386578.49,47464.11,688467.10,,,
"South Central",Weekly,"2022-01-10 00:00:00",Conventional,0.976466682,5116421.73,2475368.65,1024658.52,86034.51,1530360.05,,,
Southeast,Weekly,"2022-01-10 00:00:00",Conventional,1.138447508,5564570.73,3706571.16,416810.24,30877.14,1410312.20,,,
West,Weekly,"2022-01-10 00:00:00",Conventional,1.138685466,6877959.81,3098900.42,2116391.29,169149.34,1493518.75,,,
"Total U.S.",Weekly,"2022-01-10 00:00:00",Conventional,1.128283376,42307851.27,20806483.17,9021979.77,1240164.08,11239224.27,,,
Albany,Weekly,"2022-01-10 00:00:00",Organic,1.395412291,6491.56,346.10,411.77,0.00,5733.69,,,
Atlanta,Weekly,"2022-01-10 00:00:00",Organic,1.486943654,50122.55,1742.59,13597.11,0.00,34782.85,,,
Baltimore/Washington,Weekly,"2022-01-10 00:00:00",Organic,1.354708092,109473.71,2260.54,8005.91,18.76,99188.51,,,
Birmingham/Montgomery,Weekly,"2022-01-10 00:00:00",Organic,1.356125727,18789.83,170.28,819.20,0.00,17800.35,,,
Boise,Weekly,"2022-01-10 00:00:00",Organic,1.845062718,8830.12,466.89,3368.41,1.15,4993.67,,,
Boston,Weekly,"2022-01-10 00:00:00",Organic,1.732519435,41383.87,403.19,3084.96,0.00,37895.72,,,
Buffalo/Rochester,Weekly,"2022-01-10 00:00:00",Organic,1.414060712,24053.51,1452.35,118.59,0.00,22482.57,,,
Charlotte,Weekly,"2022-01-10 00:00:00",Organic,1.297688110,35815.95,450.49,3408.32,15.58,31941.56,,,
Chicago,Weekly,"2022-01-10 00:00:00",Organic,1.320580240,101142.08,7257.26,16263.91,0.00,77620.92,,,
Cincinnati/Dayton,Weekly,"2022-01-10 00:00:00",Organic,1.752465078,18536.09,1556.28,9967.50,0.00,7012.32,,,
Columbus,Weekly,"2022-01-10 00:00:00",Organic,1.545410116,12079.57,1511.45,3572.48,0.00,6995.63,,,
"Dallas/Ft. Worth",Weekly,"2022-01-10 00:00:00",Organic,1.293607095,67296.78,14600.17,1088.43,0.00,51608.17,,,
Denver,Weekly,"2022-01-10 00:00:00",Organic,1.528717781,108845.47,80935.57,1807.77,88.25,26013.89,,,
Detroit,Weekly,"2022-01-10 00:00:00",Organic,1.260299293,32443.91,674.05,5859.50,0.00,25910.36,,,
"Grand Rapids",Weekly,"2022-01-10 00:00:00",Organic,1.092353885,14547.91,126.04,1316.13,0.00,13105.75,,,
Harrisburg/Scranton,Weekly,"2022-01-10 00:00:00",Organic,1.393588012,30061.59,607.08,606.62,0.00,28847.89,,,
Hartford/Springfield,Weekly,"2022-01-10 00:00:00",Organic,1.530128752,34307.06,1123.77,5747.10,0.00,27436.19,,,
Houston,Weekly,"2022-01-10 00:00:00",Organic,1.247182833,33206.17,11590.01,285.13,0.00,21331.03,,,
Indianapolis,Weekly,"2022-01-10 00:00:00",Organic,1.512655151,11949.95,514.80,3723.49,0.00,7711.65,,,
Jacksonville,Weekly,"2022-01-10 00:00:00",Organic,1.028651446,32722.95,219.02,198.69,0.00,32305.24,,,
"Las Vegas",Weekly,"2022-01-10 00:00:00",Organic,1.449897297,18251.10,3771.87,3393.38,0.00,11085.85,,,
"Los Angeles",Weekly,"2022-01-10 00:00:00",Organic,1.770806029,149112.89,58997.22,9226.28,0.00,80889.39,,,
Louisville,Weekly,"2022-01-10 00:00:00",Organic,1.426008444,10353.57,59.52,5485.51,0.00,4808.53,,,
"Miami/Ft. Lauderdale",Weekly,"2022-01-10 00:00:00",Organic,1.060418389,146486.96,3783.18,815.85,0.00,141887.93,,,
Nashville,Weekly,"2022-01-10 00:00:00",Organic,1.365730390,28890.28,164.91,8385.37,0.00,20340.00,,,
"Northern New England",Weekly,"2022-01-10 00:00:00",Organic,1.854126028,19420.31,2660.66,635.43,0.00,16124.22,,,
"New Orleans/Mobile",Weekly,"2022-01-10 00:00:00",Organic,1.234263005,16246.76,476.40,28.13,0.00,15742.23,,,
"New York",Weekly,"2022-01-10 00:00:00",Organic,1.539833252,190656.58,12327.75,18935.37,1.11,159392.35,,,
Orlando,Weekly,"2022-01-10 00:00:00",Organic,0.941660695,109923.65,455.83,286.33,0.00,109181.49,,,
Peoria/Springfield,Weekly,"2022-01-10 00:00:00",Organic,1.320312737,6989.63,135.29,1310.81,0.00,5543.53,,,
Philadelphia,Weekly,"2022-01-10 00:00:00",Organic,1.418341553,53208.11,2719.48,3119.13,0.00,47369.50,,,
Phoenix/Tucson,Weekly,"2022-01-10 00:00:00",Organic,1.379833614,38571.35,11382.29,6394.00,0.00,20795.05,,,
Pittsburgh,Weekly,"2022-01-10 00:00:00",Organic,1.407440066,14892.48,2063.53,2.97,0.00,12825.99,,,
Portland,Weekly,"2022-01-10 00:00:00",Organic,1.841483945,51395.00,7843.88,27565.62,0.00,15985.49,,,
Providence,Weekly,"2022-01-10 00:00:00",Organic,1.472959396,7477.72,79.49,45.21,0.00,7353.02,,,
Raleigh/Greensboro,Weekly,"2022-01-10 00:00:00",Organic,1.292741578,41474.06,821.64,3711.88,18.42,36922.12,,,
Richmond/Norfolk,Weekly,"2022-01-10 00:00:00",Organic,1.277552625,30903.95,711.24,3531.65,1.01,26660.05,,,
Roanoke,Weekly,"2022-01-10 00:00:00",Organic,1.311044921,16540.87,145.59,3641.41,0.00,12753.87,,,
Sacramento,Weekly,"2022-01-10 00:00:00",Organic,1.913275533,21176.11,5359.70,4155.98,0.00,11660.42,,,
"San Diego",Weekly,"2022-01-10 00:00:00",Organic,1.939457129,29175.63,13480.68,2036.30,1.21,13657.44,,,
"San Francisco",Weekly,"2022-01-10 00:00:00",Organic,2.021816695,62015.60,16584.64,7446.84,8.35,37975.77,,,
Seattle,Weekly,"2022-01-10 00:00:00",Organic,2.140838560,74942.55,19683.11,36081.74,0.00,19177.70,,,
"South Carolina",Weekly,"2022-01-10 00:00:00",Organic,1.274476369,53303.53,1124.30,4588.80,23.02,47567.42,,,
Spokane,Weekly,"2022-01-10 00:00:00",Organic,2.072986617,5976.88,1042.94,2482.61,0.00,2451.33,,,
"St. Louis",Weekly,"2022-01-10 00:00:00",Organic,1.277170828,18093.57,4046.05,2719.27,0.00,11328.24,,,
Syracuse,Weekly,"2022-01-10 00:00:00",Organic,1.313345570,9124.90,428.93,89.00,0.00,8606.97,,,
Tampa,Weekly,"2022-01-10 00:00:00",Organic,0.909041178,99492.25,297.89,163.48,0.00,99030.88,,,
Toledo,Weekly,"2022-01-10 00:00:00",Organic,1.457169630,5712.01,539.48,1332.19,0.00,3840.35,,,
"West Tex/New Mexico",Weekly,"2022-01-10 00:00:00",Organic,1.146729732,44583.75,10621.01,1422.31,0.00,32540.43,,,
Wichita,Weekly,"2022-01-10 00:00:00",Organic,1.313524244,5373.93,2001.49,17.60,0.00,3354.84,,,
California,Weekly,"2022-01-10 00:00:00",Organic,1.868719456,317418.71,114957.33,30232.44,14.54,172214.40,,,
"Great Lakes",Weekly,"2022-01-10 00:00:00",Organic,1.384101468,275461.29,24836.29,53515.11,0.00,197109.88,,,
Midsouth,Weekly,"2022-01-10 00:00:00",Organic,1.326087649,393716.92,7771.88,56543.74,86.23,329315.07,,,
Northeast,Weekly,"2022-01-10 00:00:00",Organic,1.504786883,464244.33,29719.61,26498.75,4.49,408021.48,,,
Plains,Weekly,"2022-01-10 00:00:00",Organic,1.375992742,76499.57,13862.20,3956.02,77.93,58603.41,,,
"South Central",Weekly,"2022-01-10 00:00:00",Organic,1.295724528,211305.86,42113.07,5331.10,0.00,163861.69,,,
Southeast,Weekly,"2022-01-10 00:00:00",Organic,1.074847635,667903.17,10724.03,25984.67,48.47,631146.01,,,
West,Weekly,"2022-01-10 00:00:00",Organic,1.667647004,483018.51,184869.09,110242.61,190.79,187716.02,,,
"Total U.S.",Weekly,"2022-01-10 00:00:00",Organic,1.418059675,2889568.36,428853.49,312304.45,422.45,2147987.97,,,
Albany,Weekly,"2022-01-16 00:00:00",Conventional,1.169780874,139319.63,43821.59,61518.13,940.09,33039.82,,,
Atlanta,Weekly,"2022-01-16 00:00:00",Conventional,1.160935739,968418.53,623594.77,167876.70,3426.81,173520.25,,,
Baltimore/Washington,Weekly,"2022-01-16 00:00:00",Conventional,1.313381527,1193268.75,421737.32,238282.69,8981.56,524267.18,,,
Birmingham/Montgomery,Weekly,"2022-01-16 00:00:00",Conventional,1.125624052,366074.11,229858.24,32771.73,2619.67,100824.47,,,
Boise,Weekly,"2022-01-16 00:00:00",Conventional,1.460495279,112280.38,53877.56,17116.56,10980.43,30305.82,,,
Boston,Weekly,"2022-01-16 00:00:00",Conventional,1.351928806,738218.12,238553.92,330355.97,3111.64,166196.59,,,
Buffalo/Rochester,Weekly,"2022-01-16 00:00:00",Conventional,1.265122203,252534.03,55148.16,52717.45,844.79,143823.63,,,
Charlotte,Weekly,"2022-01-16 00:00:00",Conventional,1.241522471,423825.24,159276.35,65271.77,6965.21,192311.90,,,
Chicago,Weekly,"2022-01-16 00:00:00",Conventional,1.246564014,1121504.15,403882.02,288985.39,116995.24,311641.50,,,
Cincinnati/Dayton,Weekly,"2022-01-16 00:00:00",Conventional,0.981840325,368621.28,252686.84,72880.53,1047.71,42006.20,,,
Columbus,Weekly,"2022-01-16 00:00:00",Conventional,0.948222027,312709.28,224756.74,37728.75,1274.87,48948.93,,,
"Dallas/Ft. Worth",Weekly,"2022-01-16 00:00:00",Conventional,0.971445930,1491470.45,687511.89,273541.46,15012.47,515404.63,,,
Denver,Weekly,"2022-01-16 00:00:00",Conventional,1.309504598,905436.35,441648.33,177671.47,39801.04,246315.51,,,
Detroit,Weekly,"2022-01-16 00:00:00",Conventional,0.988529924,548995.79,336830.40,53312.90,29902.30,128950.19,,,
"Grand Rapids",Weekly,"2022-01-16 00:00:00",Conventional,1.315423407,176447.60,48652.61,22163.98,28629.81,77001.20,,,
Harrisburg/Scranton,Weekly,"2022-01-16 00:00:00",Conventional,1.190916141,421603.32,162740.93,78104.03,2113.47,178644.88,,,
Hartford/Springfield,Weekly,"2022-01-16 00:00:00",Conventional,1.417624332,410596.51,88388.84,214491.70,1373.68,106342.30,,,
Houston,Weekly,"2022-01-16 00:00:00",Conventional,1.099808895,958003.08,527061.95,204459.19,9636.17,216845.77,,,
Indianapolis,Weekly,"2022-01-16 00:00:00",Conventional,0.982239728,306671.98,196472.10,40290.41,3171.01,66738.47,,,
Jacksonville,Weekly,"2022-01-16 00:00:00",Conventional,1.285892473,221715.40,146589.66,9972.30,1161.22,63992.23,,,
"Las Vegas",Weekly,"2022-01-16 00:00:00",Conventional,1.218325058,382899.03,119706.93,142099.58,884.35,120208.17,,,
"Los Angeles",Weekly,"2022-01-16 00:00:00",Conventional,1.294408635,3167729.14,1959354.81,117564.34,333043.10,757766.89,,,
Louisville,Weekly,"2022-01-16 00:00:00",Conventional,0.999215730,155679.75,100203.45,18023.62,547.23,36905.45,,,
"Miami/Ft. Lauderdale",Weekly,"2022-01-16 00:00:00",Conventional,1.281681785,949531.97,673622.11,31126.67,7119.54,237663.64,,,
Nashville,Weekly,"2022-01-16 00:00:00",Conventional,1.155588877,355642.19,214211.69,39807.92,1196.65,100425.92,,,
"Northern New England",Weekly,"2022-01-16 00:00:00",Conventional,1.181184396,546385.83,248113.65,192872.37,998.39,104401.42,,,
"New Orleans/Mobile",Weekly,"2022-01-16 00:00:00",Conventional,1.003944383,301476.89,161505.68,18614.01,1545.46,119811.73,,,
"New York",Weekly,"2022-01-16 00:00:00",Conventional,1.395432991,2386228.56,812817.04,817837.38,13706.72,741867.42,,,
Orlando,Weekly,"2022-01-16 00:00:00",Conventional,1.239232870,562805.39,350952.81,15081.16,6543.16,190228.26,,,
Peoria/Springfield,Weekly,"2022-01-16 00:00:00",Conventional,1.012137593,166802.22,83144.79,24665.86,4096.75,54894.82,,,
Philadelphia,Weekly,"2022-01-16 00:00:00",Conventional,1.228225494,748268.60,289325.97,144856.20,4238.62,309847.81,,,
Phoenix/Tucson,Weekly,"2022-01-16 00:00:00",Conventional,1.116838588,1172428.64,488147.02,467788.89,22059.73,194432.99,,,
Pittsburgh,Weekly,"2022-01-16 00:00:00",Conventional,0.997131880,240927.31,160090.86,6418.57,947.17,73470.71,,,
Portland,Weekly,"2022-01-16 00:00:00",Conventional,1.436033425,688324.32,401946.02,154705.07,32068.72,99604.52,,,
Providence,Weekly,"2022-01-16 00:00:00",Conventional,1.353206912,106985.36,36521.28,50364.57,325.09,19774.43,,,
Raleigh/Greensboro,Weekly,"2022-01-16 00:00:00",Conventional,1.188189711,497570.48,198077.10,82326.21,6403.91,210763.25,,,
Richmond/Norfolk,Weekly,"2022-01-16 00:00:00",Conventional,1.089413988,389461.42,216476.28,58595.43,2318.61,112071.09,,,
Roanoke,Weekly,"2022-01-16 00:00:00",Conventional,1.024449423,247597.84,157080.81,32757.94,382.62,57376.47,,,
Sacramento,Weekly,"2022-01-16 00:00:00",Conventional,1.640675329,439005.45,139373.41,180475.62,9269.67,109886.76,,,
"San Diego",Weekly,"2022-01-16 00:00:00",Conventional,1.326500230,581068.13,325742.00,46357.64,57332.95,151635.54,,,
"San Francisco",Weekly,"2022-01-16 00:00:00",Conventional,1.659048506,692278.65,207348.60,348423.22,12455.01,124051.81,,,
Seattle,Weekly,"2022-01-16 00:00:00",Conventional,1.647156709,530114.53,219672.64,221408.96,3569.58,85463.36,,,
"South Carolina",Weekly,"2022-01-16 00:00:00",Conventional,1.195232673,560730.40,284003.54,71340.23,2590.07,202796.56,,,
Spokane,Weekly,"2022-01-16 00:00:00",Conventional,1.453197358,75977.78,38798.81,21224.48,47.88,15906.61,,,
"St. Louis",Weekly,"2022-01-16 00:00:00",Conventional,1.069471208,267727.73,160305.01,12440.49,1785.53,93196.70,,,
Syracuse,Weekly,"2022-01-16 00:00:00",Conventional,1.188617207,111521.00,33694.60,26499.01,328.06,50999.33,,,
Tampa,Weekly,"2022-01-16 00:00:00",Conventional,1.192457407,576266.07,394625.73,17961.15,4805.20,158873.99,,,
Toledo,Weekly,"2022-01-16 00:00:00",Conventional,0.967371632,160832.54,106055.45,16669.62,4063.29,34044.19,,,
"West Tex/New Mexico",Weekly,"2022-01-16 00:00:00",Conventional,1.087165925,885673.33,427031.61,144365.03,9057.70,305218.99,,,
Wichita,Weekly,"2022-01-16 00:00:00",Conventional,1.102687112,100645.19,52133.34,16986.65,701.19,30824.01,,,
California,Weekly,"2022-01-16 00:00:00",Conventional,1.396902693,6166153.61,3240210.45,1035974.89,477557.89,1412410.37,,,
"Great Lakes",Weekly,"2022-01-16 00:00:00",Conventional,1.089232231,4921057.32,2507276.89,946822.39,241616.75,1225341.29,,,
Midsouth,Weekly,"2022-01-16 00:00:00",Conventional,1.171116956,4772409.25,2321122.87,737824.33,32037.55,1681424.49,,,
Northeast,Weekly,"2022-01-16 00:00:00",Conventional,1.286783471,6607378.99,2458429.55,2030494.31,22518.24,2095936.89,,,
Plains,Weekly,"2022-01-16 00:00:00",Conventional,1.191616650,2198225.33,984251.40,386645.22,55815.85,771512.85,,,
"South Central",Weekly,"2022-01-16 00:00:00",Conventional,1.054682235,5331150.34,2747017.29,777431.82,88251.27,1718449.95,,,
Southeast,Weekly,"2022-01-16 00:00:00",Conventional,1.208956953,5583978.48,3633626.47,437195.03,32292.18,1480864.81,,,
West,Weekly,"2022-01-16 00:00:00",Conventional,1.294758252,6591835.54,3046827.85,1906336.70,167608.05,1471062.94,,,
"Total U.S.",Weekly,"2022-01-16 00:00:00",Conventional,1.223383045,42172188.84,20938762.77,8258724.69,1117697.78,11857003.61,,,
Albany,Weekly,"2022-01-16 00:00:00",Organic,1.527955820,5597.66,370.69,404.24,0.00,4822.73,,,
Atlanta,Weekly,"2022-01-16 00:00:00",Organic,1.473892380,53208.51,2450.82,17723.64,0.00,33034.06,,,
Baltimore/Washington,Weekly,"2022-01-16 00:00:00",Organic,1.508177065,79723.92,1541.98,8556.49,9.37,69616.08,,,
Birmingham/Montgomery,Weekly,"2022-01-16 00:00:00",Organic,1.421952635,17803.65,255.81,1060.78,0.00,16487.05,,,
Boise,Weekly,"2022-01-16 00:00:00",Organic,2.056553057,7450.81,9.49,3681.02,0.00,3760.30,,,
Boston,Weekly,"2022-01-16 00:00:00",Organic,1.779771706,36172.06,418.72,2763.82,0.00,32989.52,,,
Buffalo/Rochester,Weekly,"2022-01-16 00:00:00",Organic,1.526017757,17602.96,1194.06,67.26,0.00,16341.64,,,
Charlotte,Weekly,"2022-01-16 00:00:00",Organic,1.526859411,24303.26,362.45,3484.87,40.50,20415.44,,,
Chicago,Weekly,"2022-01-16 00:00:00",Organic,1.433687795,83859.55,11918.03,19120.07,0.00,52821.44,,,
Cincinnati/Dayton,Weekly,"2022-01-16 00:00:00",Organic,1.721860016,19033.14,3433.88,9130.82,0.00,6468.43,,,
Columbus,Weekly,"2022-01-16 00:00:00",Organic,1.509466661,13742.52,2616.09,3280.66,0.00,7845.78,,,
"Dallas/Ft. Worth",Weekly,"2022-01-16 00:00:00",Organic,1.321478940,65789.92,12192.08,1129.23,0.00,52468.61,,,
Denver,Weekly,"2022-01-16 00:00:00",Organic,1.571830411,57924.80,31257.91,1633.96,3.19,25029.74,,,
Detroit,Weekly,"2022-01-16 00:00:00",Organic,1.211623007,35218.40,2687.58,3944.61,0.00,28586.20,,,
"Grand Rapids",Weekly,"2022-01-16 00:00:00",Organic,0.993465238,20272.08,83.24,1119.90,0.00,19068.95,,,
Harrisburg/Scranton,Weekly,"2022-01-16 00:00:00",Organic,1.542233151,25812.41,764.25,585.64,0.00,24462.53,,,
Hartford/Springfield,Weekly,"2022-01-16 00:00:00",Organic,1.635682213,27691.85,1106.54,4746.56,0.00,21838.74,,,
Houston,Weekly,"2022-01-16 00:00:00",Organic,1.505566907,24131.08,9507.69,360.60,0.00,14262.79,,,
Indianapolis,Weekly,"2022-01-16 00:00:00",Organic,1.457830588,12765.42,787.97,3455.37,0.00,8522.08,,,
Jacksonville,Weekly,"2022-01-16 00:00:00",Organic,1.169764790,23567.95,235.29,201.07,0.00,23131.58,,,
"Las Vegas",Weekly,"2022-01-16 00:00:00",Organic,1.504097668,18558.67,5225.35,3410.36,0.00,9922.95,,,
"Los Angeles",Weekly,"2022-01-16 00:00:00",Organic,1.723318465,184804.74,68542.78,7872.69,2.53,108386.74,,,
Louisville,Weekly,"2022-01-16 00:00:00",Organic,1.410081357,10121.81,803.02,4146.29,0.00,5172.50,,,
"Miami/Ft. Lauderdale",Weekly,"2022-01-16 00:00:00",Organic,1.074456611,142617.28,2658.76,812.68,0.00,139145.85,,,
Nashville,Weekly,"2022-01-16 00:00:00",Organic,1.389890477,31300.38,1202.01,9627.57,0.00,20470.80,,,
"Northern New England",Weekly,"2022-01-16 00:00:00",Organic,1.852828377,17980.08,2403.43,483.20,0.00,15093.45,,,
"New Orleans/Mobile",Weekly,"2022-01-16 00:00:00",Organic,1.239434269,14815.63,319.97,9.45,0.00,14486.21,,,
"New York",Weekly,"2022-01-16 00:00:00",Organic,1.730756928,141563.52,13764.08,16609.96,6.79,111182.70,,,
Orlando,Weekly,"2022-01-16 00:00:00",Organic,0.998847209,102043.09,613.85,198.34,0.00,101230.90,,,
Peoria/Springfield,Weekly,"2022-01-16 00:00:00",Organic,1.381970209,7195.91,209.21,1241.86,0.00,5744.83,,,
Philadelphia,Weekly,"2022-01-16 00:00:00",Organic,1.637739288,40724.12,2655.03,3281.61,2.05,34785.42,,,
Phoenix/Tucson,Weekly,"2022-01-16 00:00:00",Organic,1.387609937,40855.06,9118.48,6710.61,0.00,25025.96,,,
Pittsburgh,Weekly,"2022-01-16 00:00:00",Organic,1.392028183,14154.09,2945.90,0.00,0.00,11208.19,,,
Portland,Weekly,"2022-01-16 00:00:00",Organic,2.250753680,47019.58,3371.76,26273.48,0.00,17374.34,,,
Providence,Weekly,"2022-01-16 00:00:00",Organic,1.558049055,6234.63,106.06,20.54,0.00,6108.03,,,
Raleigh/Greensboro,Weekly,"2022-01-16 00:00:00",Organic,1.518843381,27878.03,680.18,3794.24,22.50,23381.11,,,
Richmond/Norfolk,Weekly,"2022-01-16 00:00:00",Organic,1.361760406,29445.96,1156.84,3433.14,4.02,24851.95,,,
