Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Richmond/Norfolk,Weekly,"2023-04-16 00:00:00",Conventional,1.001390445,350798.22,134385.75,101463.21,138.45,114810.80,,,
Roanoke,Weekly,"2023-04-16 00:00:00",Conventional,0.945862717,203952.54,94397.50,48372.84,523.77,60658.44,,,
Sacramento,Weekly,"2023-04-16 00:00:00",Conventional,1.484291291,432025.45,178494.17,170805.46,6739.08,75986.74,,,
"San Diego",Weekly,"2023-04-16 00:00:00",Conventional,1.089945614,618994.30,370797.02,44552.80,74697.39,128947.09,,,
"San Francisco",Weekly,"2023-04-16 00:00:00",Conventional,1.302543050,776332.51,306839.68,352825.26,8647.80,108019.77,,,
Seattle,Weekly,"2023-04-16 00:00:00",Conventional,1.346270845,465125.92,199606.94,163676.06,18903.13,82939.79,,,
"South Carolina",Weekly,"2023-04-16 00:00:00",Conventional,0.949419744,654679.28,380055.04,59090.46,209.73,215324.05,,,
Spokane,Weekly,"2023-04-16 00:00:00",Conventional,1.120420577,71127.07,34769.74,21090.20,22.36,15244.77,,,
"St. Louis",Weekly,"2023-04-16 00:00:00",Conventional,0.796282211,301041.88,192124.77,15892.66,117.22,92907.22,,,
Syracuse,Weekly,"2023-04-16 00:00:00",Conventional,0.972043911,113737.32,31446.91,39199.62,251.88,42838.91,,,
Tampa,Weekly,"2023-04-16 00:00:00",Conventional,0.956945164,799717.32,534479.01,12437.21,73.01,252728.09,,,
Toledo,Weekly,"2023-04-16 00:00:00",Conventional,0.982457989,125283.52,44864.69,39165.11,5807.09,35446.64,,,
"West Tex/New Mexico",Weekly,"2023-04-16 00:00:00",Conventional,0.812329982,969341.20,443050.95,130110.70,5049.57,391129.98,,,
Wichita,Weekly,"2023-04-16 00:00:00",Conventional,0.841010750,117359.74,61218.65,22746.31,45.36,33349.41,,,
California,Weekly,"2023-04-16 00:00:00",Conventional,1.206181877,6481636.88,3360246.22,1069457.77,813328.75,1238604.14,,,
"Great Lakes",Weekly,"2023-04-16 00:00:00",Conventional,0.951404706,4897345.12,2333124.60,1131857.33,216536.49,1215826.70,,,
Midsouth,Weekly,"2023-04-16 00:00:00",Conventional,1.017364938,4761723.40,2180571.42,920806.33,10318.71,1650026.95,,,
Northeast,Weekly,"2023-04-16 00:00:00",Conventional,1.067217680,6935900.01,1538865.26,3471725.36,30883.36,1894426.03,,,
Plains,Weekly,"2023-04-16 00:00:00",Conventional,0.900212163,2426080.96,1343354.73,346456.92,6428.03,729841.29,,,
"South Central",Weekly,"2023-04-16 00:00:00",Conventional,0.790017248,5878740.40,3137043.90,816047.75,90934.71,1834714.04,,,
Southeast,Weekly,"2023-04-16 00:00:00",Conventional,0.939442861,7001184.66,4587987.68,270757.45,1321.23,2141118.31,,,
West,Weekly,"2023-04-16 00:00:00",Conventional,0.953325495,6791193.07,3096190.56,2018976.13,136499.32,1539527.07,,,
"Total U.S.",Weekly,"2023-04-16 00:00:00",Conventional,0.987378427,45173804.51,21577384.36,10046085.03,1306250.59,12244084.52,,,
Albany,Weekly,"2023-04-16 00:00:00",Organic,1.165102428,4993.61,209.27,163.01,0.00,4621.33,,,
Atlanta,Weekly,"2023-04-16 00:00:00",Organic,1.283353499,50691.52,335.34,17646.37,0.00,32709.81,,,
Baltimore/Washington,Weekly,"2023-04-16 00:00:00",Organic,1.217460588,97215.34,1836.40,9241.45,20.86,86116.63,,,
Birmingham/Montgomery,Weekly,"2023-04-16 00:00:00",Organic,1.086389989,16051.15,125.50,845.33,0.00,15080.32,,,
Boise,Weekly,"2023-04-16 00:00:00",Organic,1.383996817,8898.06,2484.10,1901.91,0.00,4512.05,,,
Boston,Weekly,"2023-04-16 00:00:00",Organic,1.438237008,37113.96,252.31,1881.88,0.00,34979.77,,,
Buffalo/Rochester,Weekly,"2023-04-16 00:00:00",Organic,1.255255723,22555.23,380.03,88.46,0.00,22086.74,,,
Charlotte,Weekly,"2023-04-16 00:00:00",Organic,1.219168573,34660.58,549.71,2307.56,17.94,31785.36,,,
Chicago,Weekly,"2023-04-16 00:00:00",Organic,1.276829621,90935.60,1701.59,33398.17,0.00,55835.84,,,
Cincinnati/Dayton,Weekly,"2023-04-16 00:00:00",Organic,1.509042194,20630.26,113.90,10688.44,0.00,9827.92,,,
Columbus,Weekly,"2023-04-16 00:00:00",Organic,1.464623964,17828.73,2642.54,4780.70,0.00,10405.48,,,
"Dallas/Ft. Worth",Weekly,"2023-04-16 00:00:00",Organic,1.034634712,63931.00,16728.35,887.40,0.00,46315.26,,,
Denver,Weekly,"2023-04-16 00:00:00",Organic,1.156268208,63816.64,29777.09,861.36,0.00,33178.19,,,
Detroit,Weekly,"2023-04-16 00:00:00",Organic,1.309274779,25631.86,423.09,8044.15,0.00,17164.62,,,
"Grand Rapids",Weekly,"2023-04-16 00:00:00",Organic,1.205761136,9151.45,125.27,496.56,59.28,8470.34,,,
Harrisburg/Scranton,Weekly,"2023-04-16 00:00:00",Organic,1.180633414,22822.12,370.68,469.20,0.00,21982.24,,,
Hartford/Springfield,Weekly,"2023-04-16 00:00:00",Organic,1.297375461,30373.23,845.69,4335.80,0.00,25191.74,,,
Houston,Weekly,"2023-04-16 00:00:00",Organic,1.038730771,31203.84,10065.51,356.60,0.00,20781.73,,,
Indianapolis,Weekly,"2023-04-16 00:00:00",Organic,1.401740773,15043.90,1438.94,4461.11,0.00,9143.85,,,
Jacksonville,Weekly,"2023-04-16 00:00:00",Organic,1.253960785,10127.98,204.37,133.08,0.00,9790.53,,,
"Las Vegas",Weekly,"2023-04-16 00:00:00",Organic,1.063982285,23958.51,5842.79,1834.15,0.00,16281.57,,,
"Los Angeles",Weekly,"2023-04-16 00:00:00",Organic,1.712446011,153415.08,46748.85,5404.53,4458.94,96802.76,,,
Louisville,Weekly,"2023-04-16 00:00:00",Organic,1.530008515,9735.31,2241.92,2986.83,0.00,4506.56,,,
"Miami/Ft. Lauderdale",Weekly,"2023-04-16 00:00:00",Organic,1.095342290,75334.41,1051.05,478.12,0.00,73805.25,,,
Nashville,Weekly,"2023-04-16 00:00:00",Organic,1.267043345,25925.72,2966.77,5083.57,0.00,17875.38,,,
"Northern New England",Weekly,"2023-04-16 00:00:00",Organic,1.471114957,15932.93,1799.70,241.91,0.00,13891.32,,,
"New Orleans/Mobile",Weekly,"2023-04-16 00:00:00",Organic,1.340923573,10676.38,352.87,83.23,0.00,10240.28,,,
"New York",Weekly,"2023-04-16 00:00:00",Organic,1.440197474,135402.68,11332.39,19572.95,14.59,104482.76,,,
Orlando,Weekly,"2023-04-16 00:00:00",Organic,1.123928387,37432.08,562.62,116.55,0.00,36752.91,,,
Peoria/Springfield,Weekly,"2023-04-16 00:00:00",Organic,1.135539825,10442.55,387.41,1338.75,0.00,8716.39,,,
Philadelphia,Weekly,"2023-04-16 00:00:00",Organic,1.314917843,41187.98,1709.74,5095.44,0.00,34382.80,,,
Phoenix/Tucson,Weekly,"2023-04-16 00:00:00",Organic,1.200091609,37652.98,14519.60,2858.13,0.00,20275.25,,,
Pittsburgh,Weekly,"2023-04-16 00:00:00",Organic,1.227850361,14815.37,1543.88,0.00,0.00,13271.50,,,
Portland,Weekly,"2023-04-16 00:00:00",Organic,1.667120377,43424.13,1998.14,25322.79,30.21,16072.99,,,
Providence,Weekly,"2023-04-16 00:00:00",Organic,1.148173900,7066.36,42.71,11.19,0.00,7012.46,,,
Raleigh/Greensboro,Weekly,"2023-04-16 00:00:00",Organic,1.259620207,42206.01,1327.22,2104.14,15.44,38759.22,,,
Richmond/Norfolk,Weekly,"2023-04-16 00:00:00",Organic,1.181995092,34473.19,1194.59,3410.86,0.00,29867.75,,,
Roanoke,Weekly,"2023-04-16 00:00:00",Organic,1.260855635,16416.82,960.24,3098.06,0.00,12358.52,,,
Sacramento,Weekly,"2023-04-16 00:00:00",Organic,1.074746852,46775.25,6185.58,1594.81,0.00,38994.86,,,
"San Diego",Weekly,"2023-04-16 00:00:00",Organic,1.993173238,24801.67,12190.29,912.05,334.98,11364.35,,,
"San Francisco",Weekly,"2023-04-16 00:00:00",Organic,1.492595607,85571.41,23224.71,3695.45,0.00,58651.25,,,
Seattle,Weekly,"2023-04-16 00:00:00",Organic,2.261658044,64629.94,13416.26,36678.67,18.41,14516.60,,,
"South Carolina",Weekly,"2023-04-16 00:00:00",Organic,1.235722974,38336.04,973.16,4298.98,11.71,33052.19,,,
Spokane,Weekly,"2023-04-16 00:00:00",Organic,1.632212772,6710.00,1774.04,1393.94,0.00,3542.02,,,
"St. Louis",Weekly,"2023-04-16 00:00:00",Organic,1.392964628,12787.37,761.67,2651.40,0.00,9374.30,,,
Syracuse,Weekly,"2023-04-16 00:00:00",Organic,1.125718192,9048.21,168.06,72.00,0.00,8808.15,,,
Tampa,Weekly,"2023-04-16 00:00:00",Organic,1.104937023,25595.23,417.24,105.00,0.00,25072.99,,,
Toledo,Weekly,"2023-04-16 00:00:00",Organic,1.394537691,6682.11,596.45,1818.73,0.00,4266.93,,,
"West Tex/New Mexico",Weekly,"2023-04-16 00:00:00",Organic,1.047971957,55523.23,22349.24,798.38,0.00,32375.62,,,
Wichita,Weekly,"2023-04-16 00:00:00",Organic,1.157981793,5082.18,1287.93,12.61,0.00,3781.65,,,
California,Weekly,"2023-04-16 00:00:00",Organic,1.519937525,404442.31,111575.88,14081.73,5085.31,273699.39,,,
"Great Lakes",Weekly,"2023-04-16 00:00:00",Organic,1.253273131,305337.73,14940.42,80045.60,78.92,210272.78,,,
Midsouth,Weekly,"2023-04-16 00:00:00",Organic,1.245721722,371734.51,15318.90,44588.73,75.76,311751.12,,,
Northeast,Weekly,"2023-04-16 00:00:00",Organic,1.341458811,362422.92,18308.32,26264.81,0.00,317849.80,,,
Plains,Weekly,"2023-04-16 00:00:00",Organic,0.961070770,159058.70,11262.09,9804.23,0.00,137992.38,,,
"South Central",Weekly,"2023-04-16 00:00:00",Organic,1.095605709,230464.64,65802.23,4910.96,0.00,159751.45,,,
Southeast,Weekly,"2023-04-16 00:00:00",Organic,1.159979428,327620.54,4981.22,30829.27,12.98,291797.08,,,
West,Weekly,"2023-04-16 00:00:00",Organic,1.416963234,425486.01,120098.01,91875.43,52.59,213459.98,,,
"Total U.S.",Weekly,"2023-04-16 00:00:00",Organic,1.289333502,2586567.36,362287.07,302400.74,5305.56,1916573.99,,,
Albany,Weekly,"2023-04-23 00:00:00",Conventional,1.027193146,139215.15,32643.38,75059.43,14.32,31498.03,,,
Atlanta,Weekly,"2023-04-23 00:00:00",Conventional,0.940125200,911270.91,532769.75,133451.85,133.89,244915.43,,,
Baltimore/Washington,Weekly,"2023-04-23 00:00:00",Conventional,1.126138035,1322203.35,525564.21,313353.30,1651.30,481634.55,,,
Birmingham/Montgomery,Weekly,"2023-04-23 00:00:00",Conventional,0.884224870,413480.79,274512.07,13622.30,89.87,125256.55,,,
Boise,Weekly,"2023-04-23 00:00:00",Conventional,1.034655624,111770.01,53772.61,34198.99,240.24,23558.16,,,
Boston,Weekly,"2023-04-23 00:00:00",Conventional,1.065606237,807939.69,79855.09,557726.49,640.13,169717.99,,,
Buffalo/Rochester,Weekly,"2023-04-23 00:00:00",Conventional,0.971057269,246492.31,54534.28,61380.89,1763.39,128813.75,,,
Charlotte,Weekly,"2023-04-23 00:00:00",Conventional,0.987537620,487873.63,221228.95,78694.36,699.73,187250.59,,,
Chicago,Weekly,"2023-04-23 00:00:00",Conventional,1.004117887,1201154.86,492549.64,307984.05,87982.62,312638.56,,,
Cincinnati/Dayton,Weekly,"2023-04-23 00:00:00",Conventional,1.123876331,334591.04,109464.53,148463.70,21343.33,55319.48,,,
Columbus,Weekly,"2023-04-23 00:00:00",Conventional,1.036701756,275113.52,108812.11,88505.63,17057.97,60737.82,,,
"Dallas/Ft. Worth",Weekly,"2023-04-23 00:00:00",Conventional,0.838477358,1515307.69,653678.62,309348.11,52100.03,500180.94,,,
Denver,Weekly,"2023-04-23 00:00:00",Conventional,1.066056524,1034241.63,326801.26,387727.61,69078.10,250634.66,,,
Detroit,Weekly,"2023-04-23 00:00:00",Conventional,1.034115064,553247.93,158367.24,167197.18,102188.67,125494.84,,,
"Grand Rapids",Weekly,"2023-04-23 00:00:00",Conventional,0.972345483,275961.17,50757.98,73864.76,92481.80,58856.64,,,
Harrisburg/Scranton,Weekly,"2023-04-23 00:00:00",Conventional,1.021216353,493839.17,198316.85,115701.52,19790.31,160030.50,,,
Hartford/Springfield,Weekly,"2023-04-23 00:00:00",Conventional,1.234263669,417276.74,69779.06,238066.89,175.96,109254.83,,,
Houston,Weekly,"2023-04-23 00:00:00",Conventional,0.778113177,1096348.61,594158.63,228075.66,9703.90,264410.43,,,
Indianapolis,Weekly,"2023-04-23 00:00:00",Conventional,1.000961303,304128.59,91760.93,114394.62,25095.23,72877.81,,,
Jacksonville,Weekly,"2023-04-23 00:00:00",Conventional,0.962215941,294008.84,199838.99,3748.07,23.99,90397.79,,,
"Las Vegas",Weekly,"2023-04-23 00:00:00",Conventional,0.882256384,465114.03,208253.41,102384.16,11357.93,143118.54,,,
"Los Angeles",Weekly,"2023-04-23 00:00:00",Conventional,1.172894570,3276094.29,1638246.51,118402.06,779646.17,739799.55,,,
Louisville,Weekly,"2023-04-23 00:00:00",Conventional,0.966919546,151370.83,64388.68,42267.06,5888.00,38827.10,,,
"Miami/Ft. Lauderdale",Weekly,"2023-04-23 00:00:00",Conventional,0.982472620,1427016.35,967004.90,39802.56,2160.08,418048.81,,,
Nashville,Weekly,"2023-04-23 00:00:00",Conventional,0.916655627,356938.99,198429.51,46239.94,52.09,112217.45,,,
"Northern New England",Weekly,"2023-04-23 00:00:00",Conventional,0.923141769,583401.59,152071.95,324214.38,276.84,106838.43,,,
"New Orleans/Mobile",Weekly,"2023-04-23 00:00:00",Conventional,0.804344889,355853.77,199507.80,8510.99,2587.01,145247.96,,,
"New York",Weekly,"2023-04-23 00:00:00",Conventional,1.270877188,2358775.64,419397.13,1159987.20,25175.93,754215.37,,,
Orlando,Weekly,"2023-04-23 00:00:00",Conventional,0.937433217,787814.58,476231.28,28400.16,81.36,283101.79,,,
Peoria/Springfield,Weekly,"2023-04-23 00:00:00",Conventional,0.887074263,181029.24,89115.51,26231.15,10810.16,54872.42,,,
Philadelphia,Weekly,"2023-04-23 00:00:00",Conventional,1.013241609,777681.78,261073.60,212155.42,14197.37,290255.39,,,
Phoenix/Tucson,Weekly,"2023-04-23 00:00:00",Conventional,0.781074683,1499354.51,824365.50,455167.41,4127.74,215693.85,,,
Pittsburgh,Weekly,"2023-04-23 00:00:00",Conventional,0.914691988,236236.47,137632.03,18563.45,80.50,79960.48,,,
Portland,Weekly,"2023-04-23 00:00:00",Conventional,0.913153371,800530.59,494062.86,173840.92,30918.92,101707.88,,,
Providence,Weekly,"2023-04-23 00:00:00",Conventional,1.092051462,138066.23,22062.99,90461.87,36.16,25505.20,,,
Raleigh/Greensboro,Weekly,"2023-04-23 00:00:00",Conventional,0.954532118,552163.26,252952.86,87956.63,637.91,210615.86,,,
Richmond/Norfolk,Weekly,"2023-04-23 00:00:00",Conventional,0.957534907,391071.19,154726.51,120992.86,303.36,115048.46,,,
Roanoke,Weekly,"2023-04-23 00:00:00",Conventional,0.944813078,237608.85,111674.70,62992.04,665.74,62276.37,,,
Sacramento,Weekly,"2023-04-23 00:00:00",Conventional,1.214179228,491661.73,190652.50,205432.14,7592.67,87984.42,,,
"San Diego",Weekly,"2023-04-23 00:00:00",Conventional,1.157088127,570135.87,307832.57,33012.92,93454.63,135835.75,,,
"San Francisco",Weekly,"2023-04-23 00:00:00",Conventional,0.993057737,948381.33,382260.31,450372.96,8999.73,106748.33,,,
Seattle,Weekly,"2023-04-23 00:00:00",Conventional,1.381260231,517324.99,211367.92,206672.54,17800.07,81484.46,,,
"South Carolina",Weekly,"2023-04-23 00:00:00",Conventional,0.901716056,702218.05,389288.52,92271.54,262.26,220395.72,,,
Spokane,Weekly,"2023-04-23 00:00:00",Conventional,1.171018548,78566.96,37543.08,25918.88,52.26,15052.74,,,
"St. Louis",Weekly,"2023-04-23 00:00:00",Conventional,0.818389441,304978.86,191175.39,13960.30,50.79,99792.37,,,
Syracuse,Weekly,"2023-04-23 00:00:00",Conventional,0.972138726,116762.24,28290.33,39578.35,331.18,48562.37,,,
Tampa,Weekly,"2023-04-23 00:00:00",Conventional,0.946860021,784103.93,499391.46,36474.99,90.88,248146.60,,,
Toledo,Weekly,"2023-04-23 00:00:00",Conventional,0.999866415,158006.92,46505.38,55776.64,19091.24,36633.67,,,
"West Tex/New Mexico",Weekly,"2023-04-23 00:00:00",Conventional,0.830958805,957022.88,484635.25,108802.49,5904.69,357680.45,,,
Wichita,Weekly,"2023-04-23 00:00:00",Conventional,0.906960766,128560.31,59486.05,31923.44,51.15,37099.67,,,
California,Weekly,"2023-04-23 00:00:00",Conventional,1.139649944,6708954.80,3212290.43,1203243.33,987865.16,1305555.88,,,
"Great Lakes",Weekly,"2023-04-23 00:00:00",Conventional,0.984180573,5216328.53,1866814.59,1535340.63,588859.46,1225313.86,,,
Midsouth,Weekly,"2023-04-23 00:00:00",Conventional,0.989474523,5183610.59,2375367.05,1081814.70,20188.29,1706240.56,,,
Northeast,Weekly,"2023-04-23 00:00:00",Conventional,1.108966541,6587192.33,1476658.37,3002592.39,39495.01,2068446.55,,,
Plains,Weekly,"2023-04-23 00:00:00",Conventional,0.932204266,2486324.95,1308458.78,391305.78,12533.05,774027.34,,,
"South Central",Weekly,"2023-04-23 00:00:00",Conventional,0.829221974,5794739.12,2907775.66,860804.06,114008.67,1912150.73,,,
Southeast,Weekly,"2023-04-23 00:00:00",Conventional,0.937559871,7032685.18,4451639.86,426169.20,1421.18,2153454.94,,,
West,Weekly,"2023-04-23 00:00:00",Conventional,0.957906771,7460335.62,3577760.44,2162913.94,193278.65,1526382.60,,,
"Total U.S.",Weekly,"2023-04-23 00:00:00",Conventional,0.991527505,46470171.12,21176765.18,10664184.01,1957649.47,12671572.46,,,
Albany,Weekly,"2023-04-23 00:00:00",Organic,1.187794228,6220.07,308.07,211.80,0.00,5700.20,,,
Atlanta,Weekly,"2023-04-23 00:00:00",Organic,1.300756567,48633.65,440.58,13510.22,0.00,34682.85,,,
Baltimore/Washington,Weekly,"2023-04-23 00:00:00",Organic,1.387319297,82940.50,1421.77,11173.50,10.42,70334.81,,,
Birmingham/Montgomery,Weekly,"2023-04-23 00:00:00",Organic,1.096697407,20414.84,232.43,828.76,0.00,19353.65,,,
Boise,Weekly,"2023-04-23 00:00:00",Organic,1.369562016,8370.44,181.33,3805.23,0.00,4383.88,,,
Boston,Weekly,"2023-04-23 00:00:00",Organic,1.341437667,47909.57,275.44,1996.09,0.00,45638.05,,,
Buffalo/Rochester,Weekly,"2023-04-23 00:00:00",Organic,1.204324425,24629.71,528.65,164.88,0.00,23936.17,,,
Charlotte,Weekly,"2023-04-23 00:00:00",Organic,1.249797472,33343.64,265.76,2674.63,15.25,30387.99,,,
Chicago,Weekly,"2023-04-23 00:00:00",Organic,1.286094690,90603.35,6447.36,21374.00,0.00,62781.99,,,
Cincinnati/Dayton,Weekly,"2023-04-23 00:00:00",Organic,1.434391690,21399.24,95.29,9843.60,0.00,11460.34,,,
Columbus,Weekly,"2023-04-23 00:00:00",Organic,1.284582723,20276.31,3667.08,2465.20,0.00,14144.03,,,
"Dallas/Ft. Worth",Weekly,"2023-04-23 00:00:00",Organic,1.065145098,71424.60,16857.33,778.06,0.00,53789.21,,,
Denver,Weekly,"2023-04-23 00:00:00",Organic,1.259580275,53452.85,24950.48,858.72,0.00,27643.64,,,
Detroit,Weekly,"2023-04-23 00:00:00",Organic,1.296064668,24770.66,628.14,6767.39,0.00,17375.13,,,
"Grand Rapids",Weekly,"2023-04-23 00:00:00",Organic,1.246096689,8352.73,203.01,473.57,88.42,7587.74,,,
Harrisburg/Scranton,Weekly,"2023-04-23 00:00:00",Organic,1.271561400,20772.15,327.05,591.85,0.00,19853.26,,,
Hartford/Springfield,Weekly,"2023-04-23 00:00:00",Organic,1.103851688,45026.50,808.51,4359.95,0.00,39858.04,,,
Houston,Weekly,"2023-04-23 00:00:00",Organic,1.009251309,25298.00,8487.64,343.55,0.00,16466.80,,,
Indianapolis,Weekly,"2023-04-23 00:00:00",Organic,1.227315766,16061.79,2562.09,1806.64,0.00,11693.07,,,
Jacksonville,Weekly,"2023-04-23 00:00:00",Organic,1.133656854,19161.92,415.26,137.69,0.00,18608.97,,,
"Las Vegas",Weekly,"2023-04-23 00:00:00",Organic,1.089070660,23216.73,7336.52,1183.38,0.00,14696.83,,,
"Los Angeles",Weekly,"2023-04-23 00:00:00",Organic,1.745633202,158799.97,53490.61,6482.07,5036.09,93791.20,,,
Louisville,Weekly,"2023-04-23 00:00:00",Organic,1.338817105,11567.95,3233.04,1500.21,0.00,6834.70,,,
"Miami/Ft. Lauderdale",Weekly,"2023-04-23 00:00:00",Organic,1.055504471,86300.37,1000.37,507.31,0.00,84792.68,,,
Nashville,Weekly,"2023-04-23 00:00:00",Organic,1.258190452,32073.34,7115.01,3188.97,0.00,21769.36,,,
"Northern New England",Weekly,"2023-04-23 00:00:00",Organic,1.597839323,17037.90,1968.22,166.00,0.00,14903.69,,,
"New Orleans/Mobile",Weekly,"2023-04-23 00:00:00",Organic,1.300579965,12812.21,422.67,39.36,0.00,12350.19,,,
"New York",Weekly,"2023-04-23 00:00:00",Organic,1.359545768,176410.74,11747.06,18908.20,98.02,145657.47,,,
Orlando,Weekly,"2023-04-23 00:00:00",Organic,1.060617528,54823.88,955.09,70.35,0.00,53798.45,,,
Peoria/Springfield,Weekly,"2023-04-23 00:00:00",Organic,1.168130903,9166.41,599.58,863.83,0.00,7703.00,,,
Philadelphia,Weekly,"2023-04-23 00:00:00",Organic,1.415451729,40906.41,1604.90,5674.18,0.00,33627.34,,,
Phoenix/Tucson,Weekly,"2023-04-23 00:00:00",Organic,1.343383623,36321.85,15396.98,2681.87,0.00,18243.00,,,
Pittsburgh,Weekly,"2023-04-23 00:00:00",Organic,1.147890298,16444.38,1610.59,0.00,0.00,14833.79,,,
Portland,Weekly,"2023-04-23 00:00:00",Organic,1.629727764,40150.88,35.88,24384.27,0.00,15730.73,,,
Providence,Weekly,"2023-04-23 00:00:00",Organic,1.052220291,12296.75,52.97,4.73,0.00,12239.05,,,
Raleigh/Greensboro,Weekly,"2023-04-23 00:00:00",Organic,1.284431553,40650.06,1024.46,2284.60,19.73,37321.27,,,
Richmond/Norfolk,Weekly,"2023-04-23 00:00:00",Organic,1.250042785,29426.72,2807.34,1507.82,0.00,25111.56,,,
Roanoke,Weekly,"2023-04-23 00:00:00",Organic,1.317270025,15367.24,3058.44,1138.34,0.00,11170.46,,,
Sacramento,Weekly,"2023-04-23 00:00:00",Organic,1.010924885,53962.83,6794.88,1702.71,0.00,45465.24,,,
"San Diego",Weekly,"2023-04-23 00:00:00",Organic,1.976844217,25726.88,12873.45,860.06,282.75,11710.63,,,
"San Francisco",Weekly,"2023-04-23 00:00:00",Organic,1.434322381,82755.27,25750.57,3792.61,0.00,53212.09,,,
Seattle,Weekly,"2023-04-23 00:00:00",Organic,2.317063176,68895.64,12473.10,42180.77,172.21,14069.57,,,
"South Carolina",Weekly,"2023-04-23 00:00:00",Organic,1.235181685,42512.27,757.00,4217.03,2.13,37536.11,,,
Spokane,Weekly,"2023-04-23 00:00:00",Organic,1.781388596,6354.33,1955.11,1493.36,0.00,2905.86,,,
"St. Louis",Weekly,"2023-04-23 00:00:00",Organic,1.606499399,11092.98,1051.51,2433.38,0.00,7608.08,,,
Syracuse,Weekly,"2023-04-23 00:00:00",Organic,1.106381394,9603.23,180.33,44.82,0.00,9378.08,,,
Tampa,Weekly,"2023-04-23 00:00:00",Organic,1.056333689,42704.22,687.16,82.95,0.00,41934.11,,,
Toledo,Weekly,"2023-04-23 00:00:00",Organic,1.236837647,8921.98,1385.32,979.54,0.00,6557.12,,,
"West Tex/New Mexico",Weekly,"2023-04-23 00:00:00",Organic,1.118440783,64517.16,19436.50,481.76,0.00,44598.90,,,
Wichita,Weekly,"2023-04-23 00:00:00",Organic,1.102576904,4772.41,933.89,5.82,0.00,3832.71,,,
California,Weekly,"2023-04-23 00:00:00",Organic,1.497394112,416431.95,122600.22,15320.51,5569.43,272941.78,,,
"Great Lakes",Weekly,"2023-04-23 00:00:00",Organic,1.192851639,322967.45,25014.88,54122.30,117.64,243712.63,,,
Midsouth,Weekly,"2023-04-23 00:00:00",Organic,1.299341321,353882.20,26646.80,35812.94,55.31,291367.16,,,
Northeast,Weekly,"2023-04-23 00:00:00",Organic,1.291645614,449995.84,23817.56,28174.36,1.62,398002.30,,,
Plains,Weekly,"2023-04-23 00:00:00",Organic,1.020135100,172285.70,11478.04,22257.05,0.00,138550.62,,,
"South Central",Weekly,"2023-04-23 00:00:00",Organic,1.103783413,235131.16,52614.77,4970.06,0.00,177546.33,,,
Southeast,Weekly,"2023-04-23 00:00:00",Organic,1.122557165,405906.92,6549.37,24711.31,2.31,374643.93,,,
West,Weekly,"2023-04-23 00:00:00",Organic,1.478949357,412807.44,103398.00,102680.17,190.38,206538.89,,,
"Total U.S.",Weekly,"2023-04-23 00:00:00",Organic,1.282341446,2769408.66,372119.63,288048.69,5936.70,2103303.64,,,
Albany,Weekly,"2023-04-30 00:00:00",Conventional,1.015468040,147976.46,28577.68,86183.52,11.17,33204.08,,,
Atlanta,Weekly,"2023-04-30 00:00:00",Conventional,0.977826479,947605.91,544463.90,159479.62,156.28,243506.10,,,
Baltimore/Washington,Weekly,"2023-04-30 00:00:00",Conventional,1.171358398,1269936.61,422638.38,313441.52,1353.58,532503.14,,,
Birmingham/Montgomery,Weekly,"2023-04-30 00:00:00",Conventional,0.916763854,420268.62,275928.10,16364.28,47.25,127928.99,,,
Boise,Weekly,"2023-04-30 00:00:00",Conventional,1.073676760,116199.13,56808.79,36535.65,306.64,22548.05,,,
Boston,Weekly,"2023-04-30 00:00:00",Conventional,1.239539534,725208.82,72045.21,463326.38,231.39,189605.84,,,
Buffalo/Rochester,Weekly,"2023-04-30 00:00:00",Conventional,0.951819339,260951.99,60775.47,58908.87,1882.62,139385.04,,,
Charlotte,Weekly,"2023-04-30 00:00:00",Conventional,1.065530729,466420.05,189682.78,70714.35,812.53,205210.39,,,
Chicago,Weekly,"2023-04-30 00:00:00",Conventional,0.919758833,1356933.59,497894.54,478151.88,72206.23,308680.95,,,
Cincinnati/Dayton,Weekly,"2023-04-30 00:00:00",Conventional,1.209254248,338083.74,105215.81,175426.53,6203.25,51238.15,,,
Columbus,Weekly,"2023-04-30 00:00:00",Conventional,1.169118099,262135.00,105302.81,95188.69,5724.74,55918.76,,,
"Dallas/Ft. Worth",Weekly,"2023-04-30 00:00:00",Conventional,0.806770364,1635667.44,739841.03,362829.89,40215.13,492781.39,,,
Denver,Weekly,"2023-04-30 00:00:00",Conventional,1.093832652,1041884.23,347149.59,397430.70,24545.78,272758.15,,,
Detroit,Weekly,"2023-04-30 00:00:00",Conventional,1.157946250,469878.23,150740.79,159396.84,33540.58,126200.01,,,
"Grand Rapids",Weekly,"2023-04-30 00:00:00",Conventional,1.181171325,181299.21,53603.23,38741.80,26647.39,62306.80,,,
Harrisburg/Scranton,Weekly,"2023-04-30 00:00:00",Conventional,1.021088955,497980.58,189627.41,124480.72,19258.02,164614.43,,,
Hartford/Springfield,Weekly,"2023-04-30 00:00:00",Conventional,1.167985832,473727.77,78440.67,275796.49,211.41,119279.20,,,
Houston,Weekly,"2023-04-30 00:00:00",Conventional,0.794122685,1098621.59,570941.33,247992.21,10398.28,269289.76,,,
