Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Cincinnati/Dayton,Weekly,"2024-02-11 00:00:00",Conventional,0.887647940,430962.96,267123.08,77164.12,620.92,86054.84,,,
Cincinnati/Dayton,Weekly,"2024-02-04 00:00:00",Conventional,0.960858327,353789.68,227634.93,49224.80,266.72,76663.23,,,
Cincinnati/Dayton,Weekly,"2024-01-28 00:00:00",Conventional,0.953987499,352844.93,240363.78,44201.51,273.04,68006.60,,,
Cincinnati/Dayton,Weekly,"2024-01-21 00:00:00",Conventional,0.999602234,343428.60,208974.60,66584.85,583.66,67285.50,,,
Cincinnati/Dayton,Weekly,"2024-01-14 00:00:00",Conventional,0.965484728,371277.40,236627.39,73993.77,718.60,59937.64,,,
Cincinnati/Dayton,Weekly,"2024-01-08 00:00:00",Conventional,0.911729515,359210.48,225823.31,64839.91,417.10,68130.16,,,
Columbus,Weekly,"2024-02-25 00:00:00",Conventional,0.940420648,322470.83,177879.76,54094.77,500.16,89996.14,,,
Columbus,Weekly,"2024-02-18 00:00:00",Conventional,0.891266066,309028.27,182100.23,30216.70,450.82,96260.52,,,
Columbus,Weekly,"2024-02-11 00:00:00",Conventional,0.835522488,379286.48,252931.49,47993.84,931.56,77429.60,,,
Columbus,Weekly,"2024-02-04 00:00:00",Conventional,0.921604817,311277.42,195074.38,32637.00,402.73,83163.30,,,
Columbus,Weekly,"2024-01-28 00:00:00",Conventional,0.891925851,306213.67,202289.85,29003.07,372.41,74548.35,,,
Columbus,Weekly,"2024-01-21 00:00:00",Conventional,0.944183145,300574.48,188093.10,39227.27,696.80,72557.31,,,
Columbus,Weekly,"2024-01-14 00:00:00",Conventional,0.920769628,318200.79,198229.86,51064.77,741.92,68164.23,,,
Columbus,Weekly,"2024-01-08 00:00:00",Conventional,0.855726165,312735.83,205733.25,27739.23,495.77,78767.58,,,
"Dallas/Ft. Worth",Weekly,"2024-02-25 00:00:00",Conventional,0.811841248,1609279.09,776778.52,179016.87,2318.88,651164.81,,,
"Dallas/Ft. Worth",Weekly,"2024-02-18 00:00:00",Conventional,0.785125906,1520714.36,708352.23,238011.83,1784.11,572566.19,,,
"Dallas/Ft. Worth",Weekly,"2024-02-11 00:00:00",Conventional,0.746996918,1893396.89,824981.64,353460.33,4652.38,710302.55,,,
"Dallas/Ft. Worth",Weekly,"2024-02-04 00:00:00",Conventional,0.778456371,1638701.78,771029.47,317768.25,2600.72,547303.34,,,
"Dallas/Ft. Worth",Weekly,"2024-01-28 00:00:00",Conventional,0.783192515,1571913.29,681666.12,277360.94,1644.70,611241.53,,,
"Dallas/Ft. Worth",Weekly,"2024-01-21 00:00:00",Conventional,0.804038944,1308829.77,622250.92,204903.95,1923.04,479751.86,,,
"Dallas/Ft. Worth",Weekly,"2024-01-14 00:00:00",Conventional,0.764208036,1962382.19,855551.07,335834.65,2346.95,768649.51,,,
"Dallas/Ft. Worth",Weekly,"2024-01-08 00:00:00",Conventional,0.781609226,1513783.43,745494.40,265621.41,2572.12,500095.50,,,
Denver,Weekly,"2024-02-25 00:00:00",Conventional,1.066951457,962830.04,435877.32,243120.70,15082.62,268749.40,,,
Denver,Weekly,"2024-02-18 00:00:00",Conventional,1.018144859,951080.07,358287.01,317800.87,16133.30,258858.89,,,
Denver,Weekly,"2024-02-11 00:00:00",Conventional,0.989783384,1245839.60,496326.32,434902.85,19366.85,295243.59,,,
Denver,Weekly,"2024-02-04 00:00:00",Conventional,0.981174551,1056880.90,386773.97,352777.02,18455.94,298873.97,,,
Denver,Weekly,"2024-01-28 00:00:00",Conventional,0.985576959,1059358.85,424484.29,379211.76,16551.76,239111.04,,,
Denver,Weekly,"2024-01-21 00:00:00",Conventional,1.005782017,881084.34,361090.86,273086.77,17640.95,229265.76,,,
Denver,Weekly,"2024-01-14 00:00:00",Conventional,1.073054693,1017017.90,363198.41,390880.74,17259.79,245678.96,,,
Denver,Weekly,"2024-01-08 00:00:00",Conventional,1.060692479,1013770.37,371231.93,335764.86,18267.94,288505.64,,,
Detroit,Weekly,"2024-02-25 00:00:00",Conventional,0.981940694,520542.62,199208.43,161090.31,5040.01,155203.87,,,
Detroit,Weekly,"2024-02-18 00:00:00",Conventional,0.917842000,521912.37,234576.97,116629.19,4349.46,166356.74,,,
Detroit,Weekly,"2024-02-11 00:00:00",Conventional,0.841639619,695577.26,330541.29,207181.69,10642.83,147211.45,,,
Detroit,Weekly,"2024-02-04 00:00:00",Conventional,0.966985746,507442.96,250737.79,93779.55,3746.46,159179.16,,,
Detroit,Weekly,"2024-01-28 00:00:00",Conventional,0.956402072,528971.66,299784.21,94569.48,3879.98,130737.98,,,
Detroit,Weekly,"2024-01-21 00:00:00",Conventional,1.042977353,544208.96,220829.51,174962.04,10355.94,138061.48,,,
Detroit,Weekly,"2024-01-14 00:00:00",Conventional,1.002640939,591076.08,269082.66,176699.96,11172.17,134121.29,,,
Detroit,Weekly,"2024-01-08 00:00:00",Conventional,0.886737267,509791.25,234171.70,115025.74,4358.80,156235.01,,,
"Grand Rapids",Weekly,"2024-02-25 00:00:00",Conventional,1.048947916,219716.86,49378.61,86978.55,6337.21,77022.49,,,
"Grand Rapids",Weekly,"2024-02-18 00:00:00",Conventional,1.048673469,217644.67,52928.65,78433.36,5751.40,80531.26,,,
"Grand Rapids",Weekly,"2024-02-11 00:00:00",Conventional,0.886323273,333972.87,76896.46,176938.26,13744.87,66393.27,,,
"Grand Rapids",Weekly,"2024-02-04 00:00:00",Conventional,1.036285257,234035.80,62251.56,57042.07,10609.07,104133.10,,,
"Grand Rapids",Weekly,"2024-01-28 00:00:00",Conventional,1.006448797,220849.26,86389.26,62991.56,3664.81,67803.63,,,
"Grand Rapids",Weekly,"2024-01-21 00:00:00",Conventional,1.115632226,253226.95,49396.63,122326.02,10529.71,70974.60,,,
"Grand Rapids",Weekly,"2024-01-14 00:00:00",Conventional,1.100323066,283837.90,59167.32,137276.12,11877.01,75517.47,,,
"Grand Rapids",Weekly,"2024-01-08 00:00:00",Conventional,0.950935643,223844.53,50636.57,76234.68,5047.88,91925.39,,,
Harrisburg/Scranton,Weekly,"2024-02-25 00:00:00",Conventional,1.047411549,489487.97,213549.83,100133.74,11895.72,163908.68,,,
Harrisburg/Scranton,Weekly,"2024-02-18 00:00:00",Conventional,0.928392467,565769.56,270195.69,113708.93,12584.29,169280.65,,,
Harrisburg/Scranton,Weekly,"2024-02-11 00:00:00",Conventional,1.009185989,570047.45,266168.78,125377.38,10947.91,167553.38,,,
Harrisburg/Scranton,Weekly,"2024-02-04 00:00:00",Conventional,1.014105378,508292.22,247467.26,96067.31,11765.05,152992.60,,,
Harrisburg/Scranton,Weekly,"2024-01-28 00:00:00",Conventional,1.033342667,469439.64,199589.21,103820.67,12348.83,153680.92,,,
Harrisburg/Scranton,Weekly,"2024-01-21 00:00:00",Conventional,1.025571308,473628.00,208699.86,95600.53,13648.11,155679.50,,,
Harrisburg/Scranton,Weekly,"2024-01-14 00:00:00",Conventional,0.978474288,483429.67,228281.93,99881.62,13739.99,141526.13,,,
Harrisburg/Scranton,Weekly,"2024-01-08 00:00:00",Conventional,1.017929391,494023.99,228848.42,108215.79,13219.26,143740.52,,,
Hartford/Springfield,Weekly,"2024-02-25 00:00:00",Conventional,1.196893323,437046.94,62643.44,229375.09,327.94,144700.47,,,
Hartford/Springfield,Weekly,"2024-02-18 00:00:00",Conventional,1.065194352,470566.86,66727.63,283082.11,1052.95,119704.17,,,
Hartford/Springfield,Weekly,"2024-02-11 00:00:00",Conventional,1.029053668,634801.37,119867.24,389791.69,341.59,124800.85,,,
Hartford/Springfield,Weekly,"2024-02-04 00:00:00",Conventional,1.058959449,503911.71,99363.00,277731.70,230.84,126586.18,,,
Hartford/Springfield,Weekly,"2024-01-28 00:00:00",Conventional,1.189825933,495436.17,63982.75,304389.26,305.09,126759.07,,,
Hartford/Springfield,Weekly,"2024-01-21 00:00:00",Conventional,1.249094295,404547.64,73621.63,207518.83,189.26,123217.91,,,
Hartford/Springfield,Weekly,"2024-01-14 00:00:00",Conventional,1.143481205,458912.45,97014.66,238586.71,373.33,122937.75,,,
Hartford/Springfield,Weekly,"2024-01-08 00:00:00",Conventional,1.262125483,430483.32,69154.94,225927.91,175.30,135225.17,,,
Houston,Weekly,"2024-02-25 00:00:00",Conventional,0.931978315,1036855.29,533526.69,163394.26,2705.55,337228.79,,,
Houston,Weekly,"2024-02-18 00:00:00",Conventional,0.870412008,1031214.42,479759.29,244331.38,1693.64,305430.11,,,
Houston,Weekly,"2024-02-11 00:00:00",Conventional,0.811663575,1250971.00,534295.45,360991.13,3016.90,352667.52,,,
Houston,Weekly,"2024-02-04 00:00:00",Conventional,0.865993038,1104347.71,556011.33,252782.85,2032.89,293520.64,,,
Houston,Weekly,"2024-01-28 00:00:00",Conventional,0.867994771,1047042.34,506180.12,264842.77,1467.91,274551.53,,,
Houston,Weekly,"2024-01-21 00:00:00",Conventional,0.877760708,921408.54,456316.56,211853.92,1168.05,252070.01,,,
Houston,Weekly,"2024-01-14 00:00:00",Conventional,0.833115355,1189584.53,574257.68,291027.31,1801.62,322497.93,,,
Houston,Weekly,"2024-01-08 00:00:00",Conventional,0.844278563,970175.22,493370.39,228792.12,1612.55,246400.16,,,
Indianapolis,Weekly,"2024-02-25 00:00:00",Conventional,0.971426806,325240.77,149032.28,79507.46,505.42,96195.61,,,
Indianapolis,Weekly,"2024-02-18 00:00:00",Conventional,0.915894202,321105.83,155258.24,69022.15,833.76,95991.68,,,
Indianapolis,Weekly,"2024-02-11 00:00:00",Conventional,0.857596351,395668.61,204005.26,99666.02,1429.00,90568.34,,,
Indianapolis,Weekly,"2024-02-04 00:00:00",Conventional,0.972444950,322588.94,156034.41,78370.44,562.45,87621.65,,,
Indianapolis,Weekly,"2024-01-28 00:00:00",Conventional,0.960453485,303386.81,166510.30,57610.68,658.33,78607.50,,,
Indianapolis,Weekly,"2024-01-21 00:00:00",Conventional,0.978976962,297312.03,145637.16,76552.67,747.25,74374.96,,,
Indianapolis,Weekly,"2024-01-14 00:00:00",Conventional,0.921347907,337854.26,183273.96,83970.53,939.86,69669.92,,,
Indianapolis,Weekly,"2024-01-08 00:00:00",Conventional,0.862888078,301550.85,164109.62,58237.14,645.49,78558.60,,,
Jacksonville,Weekly,"2024-02-25 00:00:00",Conventional,1.022067224,309007.70,212193.69,2651.72,25.62,94136.67,,,
Jacksonville,Weekly,"2024-02-18 00:00:00",Conventional,1.009173805,298611.68,211042.86,1908.60,10.51,85649.71,,,
Jacksonville,Weekly,"2024-02-11 00:00:00",Conventional,0.900736727,359549.43,261232.06,4489.77,8.51,93819.09,,,
Jacksonville,Weekly,"2024-02-04 00:00:00",Conventional,0.914761953,341471.41,248038.59,2342.39,1.94,91088.50,,,
Jacksonville,Weekly,"2024-01-28 00:00:00",Conventional,0.928847827,327545.30,229596.09,2254.25,4.98,95689.97,,,
Jacksonville,Weekly,"2024-01-21 00:00:00",Conventional,0.909753200,316135.16,217089.92,3489.86,14.25,95541.13,,,
Jacksonville,Weekly,"2024-01-14 00:00:00",Conventional,0.981505901,300318.03,207916.93,4493.65,17.67,87889.78,,,
Jacksonville,Weekly,"2024-01-08 00:00:00",Conventional,0.904895166,305525.84,209956.89,2331.38,7.97,93229.61,,,
"Las Vegas",Weekly,"2024-02-25 00:00:00",Conventional,1.108111728,393499.91,183658.41,52773.01,7598.37,149470.11,,,
"Las Vegas",Weekly,"2024-02-18 00:00:00",Conventional,1.028419553,396637.63,168738.38,93307.32,6574.16,128017.77,,,
"Las Vegas",Weekly,"2024-02-11 00:00:00",Conventional,1.030581168,511877.40,243092.43,134626.17,6435.91,127722.89,,,
"Las Vegas",Weekly,"2024-02-04 00:00:00",Conventional,1.083869770,402954.66,178337.44,95006.56,7077.55,122533.10,,,
"Las Vegas",Weekly,"2024-01-28 00:00:00",Conventional,1.028838061,402267.06,171284.84,118193.44,6323.26,106465.52,,,
"Las Vegas",Weekly,"2024-01-21 00:00:00",Conventional,1.090175244,383923.45,153300.78,103773.89,7323.14,119525.64,,,
"Las Vegas",Weekly,"2024-01-14 00:00:00",Conventional,0.979532760,430932.55,154017.63,104797.41,7657.54,164459.97,,,
"Las Vegas",Weekly,"2024-01-08 00:00:00",Conventional,1.094415450,377785.03,171316.63,86730.53,8375.61,111362.26,,,
"Los Angeles",Weekly,"2024-02-25 00:00:00",Conventional,1.198829087,2979617.00,1609731.67,176224.93,398168.94,795491.46,,,
"Los Angeles",Weekly,"2024-02-18 00:00:00",Conventional,1.026110486,3197866.13,2027281.26,134132.00,297200.69,739252.17,,,
"Los Angeles",Weekly,"2024-02-11 00:00:00",Conventional,0.954203051,4140094.65,2708852.65,212075.50,443751.01,775415.49,,,
"Los Angeles",Weekly,"2024-02-04 00:00:00",Conventional,1.175237562,3293023.88,1904694.90,146041.75,497600.77,744686.45,,,
"Los Angeles",Weekly,"2024-01-28 00:00:00",Conventional,1.072287717,3288408.87,1989593.19,135923.30,416829.74,746062.65,,,
"Los Angeles",Weekly,"2024-01-21 00:00:00",Conventional,1.111705901,3190888.47,1957717.21,181892.67,302653.49,748625.11,,,
"Los Angeles",Weekly,"2024-01-14 00:00:00",Conventional,1.101636157,3256595.18,1995739.33,235941.54,302507.13,722407.18,,,
"Los Angeles",Weekly,"2024-01-08 00:00:00",Conventional,1.019309062,3266021.60,2061747.87,144773.55,280163.26,779336.93,,,
Louisville,Weekly,"2024-02-25 00:00:00",Conventional,0.981346890,174772.36,94017.50,19575.57,121.56,61057.72,,,
Louisville,Weekly,"2024-02-18 00:00:00",Conventional,0.908967702,169331.48,90609.51,19575.16,217.45,58929.36,,,
Louisville,Weekly,"2024-02-11 00:00:00",Conventional,0.853469839,202139.28,115083.69,29090.07,197.91,57767.62,,,
Louisville,Weekly,"2024-02-04 00:00:00",Conventional,0.904513690,172013.72,96398.71,17581.22,48.68,57985.11,,,
Louisville,Weekly,"2024-01-28 00:00:00",Conventional,0.914932880,160836.93,89114.97,19497.32,29.06,52195.58,,,
Louisville,Weekly,"2024-01-21 00:00:00",Conventional,0.880518397,160147.12,77203.89,31869.88,68.24,51005.12,,,
Louisville,Weekly,"2024-01-14 00:00:00",Conventional,0.850006340,192025.99,114280.92,26909.54,68.57,50766.96,,,
Louisville,Weekly,"2024-01-08 00:00:00",Conventional,1.121724296,155947.34,55977.71,47880.01,78.45,52011.17,,,
"Miami/Ft. Lauderdale",Weekly,"2024-02-25 00:00:00",Conventional,0.990499343,1663558.07,1021914.61,36966.42,2079.51,602597.53,,,
"Miami/Ft. Lauderdale",Weekly,"2024-02-18 00:00:00",Conventional,0.982433499,1633871.64,1041331.14,39675.16,1923.49,550941.85,,,
"Miami/Ft. Lauderdale",Weekly,"2024-02-11 00:00:00",Conventional,0.892149640,1844612.55,1245544.95,43928.81,2361.50,552777.28,,,
"Miami/Ft. Lauderdale",Weekly,"2024-02-04 00:00:00",Conventional,0.892347030,1794113.56,1196805.81,46731.87,2066.87,548509.02,,,
"Miami/Ft. Lauderdale",Weekly,"2024-01-28 00:00:00",Conventional,0.904267324,1646266.33,1076680.39,35690.82,1668.55,532226.57,,,
"Miami/Ft. Lauderdale",Weekly,"2024-01-21 00:00:00",Conventional,0.891403328,1619364.97,1028814.27,36595.52,1833.75,552121.42,,,
"Miami/Ft. Lauderdale",Weekly,"2024-01-14 00:00:00",Conventional,0.974869277,1512512.92,951095.45,32403.22,1958.55,527055.69,,,
"Miami/Ft. Lauderdale",Weekly,"2024-01-08 00:00:00",Conventional,0.896956345,1458426.41,915754.51,42551.20,1732.32,498388.38,,,
Nashville,Weekly,"2024-02-25 00:00:00",Conventional,0.947957515,376940.79,220551.49,23911.09,0.00,132478.21,,,
Nashville,Weekly,"2024-02-18 00:00:00",Conventional,0.945714366,362340.61,213617.16,26442.68,5.82,122274.95,,,
Nashville,Weekly,"2024-02-11 00:00:00",Conventional,0.875920608,425410.38,268111.13,33304.73,4.95,123989.57,,,
Nashville,Weekly,"2024-02-04 00:00:00",Conventional,0.872611980,382440.95,247726.49,20450.82,9.39,114254.25,,,
Nashville,Weekly,"2024-01-28 00:00:00",Conventional,0.890469932,373214.52,232579.50,25285.62,12.08,115337.32,,,
Nashville,Weekly,"2024-01-21 00:00:00",Conventional,0.927303595,332547.82,189840.99,37599.00,11.57,105096.25,,,
Nashville,Weekly,"2024-01-14 00:00:00",Conventional,0.910200413,406343.35,252912.15,29905.51,16.57,123509.11,,,
Nashville,Weekly,"2024-01-08 00:00:00",Conventional,0.997993036,354245.18,180941.00,63603.04,16.17,109684.97,,,
"Northern New England",Weekly,"2024-02-25 00:00:00",Conventional,1.021504433,532876.20,230305.49,211197.86,135.87,91236.98,,,
"Northern New England",Weekly,"2024-02-18 00:00:00",Conventional,1.009718423,565906.74,248334.26,227297.00,89.92,90185.57,,,
"Northern New England",Weekly,"2024-02-11 00:00:00",Conventional,0.991608706,670629.85,288793.52,280950.06,108.14,100778.13,,,
"Northern New England",Weekly,"2024-02-04 00:00:00",Conventional,1.014862898,530949.25,206443.13,223337.39,148.54,101020.19,,,
"Northern New England",Weekly,"2024-01-28 00:00:00",Conventional,0.983501107,535635.74,193352.99,205647.24,122.40,136513.11,,,
"Northern New England",Weekly,"2024-01-21 00:00:00",Conventional,1.011771400,628322.98,259899.77,275935.91,142.89,92344.41,,,
"Northern New England",Weekly,"2024-01-14 00:00:00",Conventional,1.014047629,487966.77,193082.75,205722.94,95.45,89065.63,,,
"Northern New England",Weekly,"2024-01-08 00:00:00",Conventional,1.132682691,579704.55,196322.03,265118.60,32.28,118231.64,,,
"New Orleans/Mobile",Weekly,"2024-02-25 00:00:00",Conventional,0.822256382,319266.42,219763.08,7310.84,396.71,91795.80,,,
"New Orleans/Mobile",Weekly,"2024-02-18 00:00:00",Conventional,0.798921867,304756.10,215251.71,8443.01,172.94,80888.44,,,
