Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units"
Albany,Weekly,"2024-02-25 00:00:00",Conventional,1.015432101,136514.24,37509.04,61119.16,0.94,37885.10,,,
Albany,Weekly,"2024-02-18 00:00:00",Conventional,1.021544932,139096.33,36915.44,68260.24,5.04,33915.61,,,
Albany,Weekly,"2024-02-11 00:00:00",Conventional,0.977534925,182796.16,58793.64,84732.99,7.99,39261.54,,,
Albany,Weekly,"2024-02-04 00:00:00",Conventional,0.978395882,148781.08,44885.18,67286.27,0.00,36609.62,,,
Albany,Weekly,"2024-01-28 00:00:00",Conventional,0.978063946,141590.02,32844.99,62971.59,2.83,45770.61,,,
Albany,Weekly,"2024-01-21 00:00:00",Conventional,1.007320856,161389.42,45020.33,81345.12,0.00,35023.97,,,
Albany,Weekly,"2024-01-14 00:00:00",Conventional,0.952042648,133810.81,40346.79,61265.65,1.05,32197.32,,,
Albany,Weekly,"2024-01-08 00:00:00",Conventional,1.010394363,161656.38,37919.86,83160.67,9.24,40566.61,,,
Atlanta,Weekly,"2024-02-25 00:00:00",Conventional,1.006877259,922875.38,621465.76,46987.95,22.76,254398.90,,,
Atlanta,Weekly,"2024-02-18 00:00:00",Conventional,1.014534010,865834.98,573412.73,53004.57,20.18,239397.50,,,
Atlanta,Weekly,"2024-02-11 00:00:00",Conventional,0.932963427,1042719.50,728150.92,73395.41,30.41,241142.76,,,
Atlanta,Weekly,"2024-02-04 00:00:00",Conventional,0.921947750,956984.81,679622.09,63820.33,36.55,213505.84,,,
Atlanta,Weekly,"2024-01-28 00:00:00",Conventional,0.939242650,906625.32,651668.43,53411.29,69.27,201476.32,,,
Atlanta,Weekly,"2024-01-21 00:00:00",Conventional,0.934882980,909592.45,617957.77,66340.88,79.75,225214.05,,,
Atlanta,Weekly,"2024-01-14 00:00:00",Conventional,0.977402807,883856.51,609248.71,63150.19,28.08,211429.53,,,
Atlanta,Weekly,"2024-01-08 00:00:00",Conventional,0.939679166,837219.28,529752.29,110558.68,52.28,196856.03,,,
Baltimore/Washington,Weekly,"2024-02-25 00:00:00",Conventional,1.096225293,1293888.91,545671.89,182563.93,1780.98,563872.11,,,
Baltimore/Washington,Weekly,"2024-02-18 00:00:00",Conventional,1.078549973,1377157.05,635039.43,198434.39,1680.63,542002.61,,,
Baltimore/Washington,Weekly,"2024-02-11 00:00:00",Conventional,1.016244093,1519567.53,723313.20,200525.94,1597.35,594131.04,,,
Baltimore/Washington,Weekly,"2024-02-04 00:00:00",Conventional,1.054645335,1420590.44,681382.62,191022.27,1133.50,547052.04,,,
Baltimore/Washington,Weekly,"2024-01-28 00:00:00",Conventional,1.038669006,1261899.83,538350.87,180268.76,1447.66,541832.54,,,
Baltimore/Washington,Weekly,"2024-01-21 00:00:00",Conventional,1.027173258,1359193.05,617543.61,208394.03,1613.98,531641.44,,,
Baltimore/Washington,Weekly,"2024-01-14 00:00:00",Conventional,1.055510053,1322569.02,603297.40,186686.70,1461.37,531123.55,,,
Baltimore/Washington,Weekly,"2024-01-08 00:00:00",Conventional,1.043774574,1276446.05,537384.92,189161.45,1788.22,548111.46,,,
Birmingham/Montgomery,Weekly,"2024-02-25 00:00:00",Conventional,0.955477893,393845.97,283363.39,6549.44,3.78,103929.36,,,
Birmingham/Montgomery,Weekly,"2024-02-18 00:00:00",Conventional,0.936221353,385109.56,283849.03,6549.70,2.84,94708.00,,,
Birmingham/Montgomery,Weekly,"2024-02-11 00:00:00",Conventional,0.875312542,452777.10,344950.22,8678.22,44.96,99103.70,,,
Birmingham/Montgomery,Weekly,"2024-02-04 00:00:00",Conventional,0.888935110,417837.15,315473.17,9091.48,10.43,93262.07,,,
Birmingham/Montgomery,Weekly,"2024-01-28 00:00:00",Conventional,0.901499160,386815.21,284045.84,6805.69,9.73,95953.95,,,
Birmingham/Montgomery,Weekly,"2024-01-21 00:00:00",Conventional,0.892829282,369130.26,266311.06,10434.60,6.92,92377.68,,,
Birmingham/Montgomery,Weekly,"2024-01-14 00:00:00",Conventional,0.890677532,401265.07,291308.52,8711.49,13.39,101231.67,,,
Birmingham/Montgomery,Weekly,"2024-01-08 00:00:00",Conventional,0.878715457,378350.45,272852.86,10878.69,20.01,94598.89,,,
Boise,Weekly,"2024-02-25 00:00:00",Conventional,1.259476847,111912.85,52065.28,31869.78,143.18,27834.61,,,
Boise,Weekly,"2024-02-18 00:00:00",Conventional,1.215738947,120704.33,53419.60,43362.13,119.81,23802.79,,,
Boise,Weekly,"2024-02-11 00:00:00",Conventional,1.126073098,146717.23,69776.35,49311.80,123.82,27505.26,,,
Boise,Weekly,"2024-02-04 00:00:00",Conventional,1.195954110,122534.54,55470.45,40579.86,133.52,26350.71,,,
Boise,Weekly,"2024-01-28 00:00:00",Conventional,1.190680234,118231.18,52149.83,40698.79,86.56,25296.00,,,
Boise,Weekly,"2024-01-21 00:00:00",Conventional,1.138998126,120448.30,55647.96,40369.65,179.35,24251.35,,,
Boise,Weekly,"2024-01-14 00:00:00",Conventional,1.185407721,125537.19,49534.32,48190.98,355.25,27456.64,,,
Boise,Weekly,"2024-01-08 00:00:00",Conventional,1.252468073,116944.33,49488.81,41255.93,881.12,25318.46,,,
Boston,Weekly,"2024-02-25 00:00:00",Conventional,1.178668789,725575.89,216378.99,301835.32,107.82,207253.77,,,
Boston,Weekly,"2024-02-18 00:00:00",Conventional,1.048112060,870720.87,261703.54,417431.56,46.81,191538.95,,,
Boston,Weekly,"2024-02-11 00:00:00",Conventional,1.138729006,818273.63,238765.60,380782.35,146.24,198579.45,,,
Boston,Weekly,"2024-02-04 00:00:00",Conventional,1.082114266,785695.83,173203.25,420342.71,78.99,192070.89,,,
Boston,Weekly,"2024-01-28 00:00:00",Conventional,1.182688556,802756.85,187841.31,412867.48,36.13,202011.92,,,
Boston,Weekly,"2024-01-21 00:00:00",Conventional,1.205686260,733679.25,214260.39,325883.66,78.05,193457.15,,,
Boston,Weekly,"2024-01-14 00:00:00",Conventional,1.240892358,668055.02,179814.44,298103.98,142.20,189994.39,,,
Boston,Weekly,"2024-01-08 00:00:00",Conventional,1.329668318,713866.62,153093.17,348312.92,47.41,212413.11,,,
Buffalo/Rochester,Weekly,"2024-02-25 00:00:00",Conventional,0.934713299,256144.93,59104.21,49793.37,1129.66,146117.69,,,
Buffalo/Rochester,Weekly,"2024-02-18 00:00:00",Conventional,0.939201643,232918.45,57786.95,48699.78,1450.51,124981.21,,,
Buffalo/Rochester,Weekly,"2024-02-11 00:00:00",Conventional,0.893355725,309956.68,108605.21,58264.64,1445.05,141641.79,,,
Buffalo/Rochester,Weekly,"2024-02-04 00:00:00",Conventional,0.869976611,296624.17,84397.84,54834.09,1327.88,156064.35,,,
Buffalo/Rochester,Weekly,"2024-01-28 00:00:00",Conventional,0.924751834,257509.25,60980.58,51992.64,1337.64,143198.39,,,
Buffalo/Rochester,Weekly,"2024-01-21 00:00:00",Conventional,0.898951958,251295.12,60234.28,52897.48,1160.07,137003.29,,,
Buffalo/Rochester,Weekly,"2024-01-14 00:00:00",Conventional,0.902313535,297134.58,85380.66,56301.16,1455.59,153997.17,,,
Buffalo/Rochester,Weekly,"2024-01-08 00:00:00",Conventional,0.898412488,272282.34,63175.61,56179.75,1318.05,151608.93,,,
Charlotte,Weekly,"2024-02-25 00:00:00",Conventional,1.075186086,457547.15,191602.41,64874.09,608.72,200461.93,,,
Charlotte,Weekly,"2024-02-18 00:00:00",Conventional,1.042863051,452940.63,208116.33,58073.36,559.43,186191.51,,,
Charlotte,Weekly,"2024-02-11 00:00:00",Conventional,0.950672250,595324.34,295858.48,71009.55,519.35,227936.96,,,
Charlotte,Weekly,"2024-02-04 00:00:00",Conventional,1.007331707,509148.41,252372.81,65646.63,1034.91,190094.06,,,
Charlotte,Weekly,"2024-01-28 00:00:00",Conventional,1.043103728,457852.95,210063.09,62008.57,1144.56,184636.73,,,
Charlotte,Weekly,"2024-01-21 00:00:00",Conventional,1.038013761,482973.24,220178.61,73658.71,728.68,188407.23,,,
Charlotte,Weekly,"2024-01-14 00:00:00",Conventional,1.029994713,499329.25,242815.39,60914.19,636.16,194963.51,,,
Charlotte,Weekly,"2024-01-08 00:00:00",Conventional,1.049507291,457674.88,198339.13,62575.72,777.76,195982.27,,,
Chicago,Weekly,"2024-02-25 00:00:00",Conventional,1.024816799,1276642.22,590951.59,227965.05,58774.76,398950.83,,,
Chicago,Weekly,"2024-02-18 00:00:00",Conventional,1.001530995,1169746.11,532597.71,230296.76,74827.42,332024.22,,,
Chicago,Weekly,"2024-02-11 00:00:00",Conventional,0.768159398,1862011.62,923327.66,512278.13,106085.12,320320.71,,,
Chicago,Weekly,"2024-02-04 00:00:00",Conventional,0.926813857,1374881.58,757786.27,230148.98,58524.88,328421.45,,,
Chicago,Weekly,"2024-01-28 00:00:00",Conventional,0.844095789,1558885.21,596662.06,202352.93,53545.59,706324.63,,,
Chicago,Weekly,"2024-01-21 00:00:00",Conventional,0.997859583,1176946.44,571325.49,244928.01,63616.00,297076.94,,,
Chicago,Weekly,"2024-01-14 00:00:00",Conventional,0.958467559,1354604.17,706899.41,267435.74,86677.29,293591.73,,,
Chicago,Weekly,"2024-01-08 00:00:00",Conventional,0.983059941,1172920.66,588116.69,230773.47,49433.11,304597.38,,,
Cincinnati/Dayton,Weekly,"2024-02-25 00:00:00",Conventional,0.970035622,362997.70,210796.44,71312.60,311.29,80577.38,,,
Cincinnati/Dayton,Weekly,"2024-02-18 00:00:00",Conventional,0.940767320,349194.14,196922.35,57612.26,392.25,94267.27,,,
